#header_line 1: command line used: mpirun -np 2 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0,22 ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pg-gnode001
#header_line 3: (latency, bandwidth) computed by fitting data = (-127.81,5163.8)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.28,0.0,-127.81,-0.0
1,1000,0.29,3.48,-127.81,-0.01
2,1000,0.29,6.92,-127.81,-0.02
4,1000,0.29,13.81,-127.81,-0.03
8,1000,0.29,27.6,-127.81,-0.06
16,1000,0.29,55.45,-127.81,-0.13
32,1000,0.3,107.61,-127.8,-0.25
64,1000,0.3,214.73,-127.8,-0.5
128,1000,0.3,424.3,-127.78,-1.0
256,1000,0.32,807.36,-127.76,-2.0
512,1000,0.56,915.1,-127.71,-4.01
1024,1000,0.59,1745.58,-127.61,-8.02
2048,1000,0.73,2819.67,-127.41,-16.07
4096,1000,0.92,4432.14,-127.02,-32.25
8192,1000,1.47,5554.28,-126.22,-64.9
16384,1000,2.39,6842.64,-124.64,-131.45
32768,1000,3.54,9247.72,-121.46,-269.78
65536,640,5.73,11427.68,-115.12,-569.28
131072,320,8.63,15186.05,-102.43,-1279.63
262144,160,15.73,16665.23,-77.04,-3402.7
524288,80,40.24,13030.34,-26.28,-19950.08
1048576,40,82.34,12735.03,75.25,13934.56
2097152,20,163.39,12835.0,278.31,7535.31
4194304,10,406.48,10318.57,684.43,6128.17
8388608,5,1034.89,8105.76,1496.68,5604.81
16777216,2,2224.86,7540.79,3121.17,5375.3
33554432,1,5953.9,5635.71,6370.14,5267.46
67108864,1,12324.82,5445.02,12868.09,5215.14
134217728,1,25615.6,5239.69,25863.99,5189.37
268435456,1,52243.17,5138.19,51855.8,5176.58
