#header_line 1: command line used: mpirun -np 2 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0,22 -genv I_MPI_OFI_PROVIDER=mlx ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pg-gnode001
#header_line 3: (latency, bandwidth) computed by fitting data = (-123.06,5163.1)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.28,0.0,-123.06,-0.0
1,1000,0.29,3.45,-123.06,-0.01
2,1000,0.29,6.88,-123.06,-0.02
4,1000,0.29,13.69,-123.06,-0.03
8,1000,0.29,27.5,-123.06,-0.07
16,1000,0.29,55.03,-123.06,-0.13
32,1000,0.3,106.87,-123.06,-0.26
64,1000,0.3,212.15,-123.05,-0.52
128,1000,0.3,422.82,-123.04,-1.04
256,1000,0.31,821.9,-123.01,-2.08
512,1000,0.56,906.9,-122.96,-4.16
1024,1000,0.61,1674.44,-122.86,-8.33
2048,1000,0.72,2842.61,-122.67,-16.7
4096,1000,0.93,4396.76,-122.27,-33.5
8192,1000,1.45,5654.69,-121.48,-67.43
16384,1000,2.37,6913.1,-119.89,-136.66
32768,1000,3.52,9301.77,-116.72,-280.74
65536,640,5.78,11346.46,-110.37,-593.78
131072,320,8.71,15055.3,-97.68,-1341.85
262144,160,15.22,17219.94,-72.29,-3626.28
524288,80,41.11,12752.61,-21.52,-24362.83
1048576,40,81.61,12848.18,80.03,13102.29
2097152,20,160.62,13056.86,283.12,7407.29
4194304,10,403.74,10388.54,689.3,6084.87
8388608,5,1030.92,8137.01,1501.66,5586.22
16777216,2,2222.8,7547.77,3126.38,5366.34
33554432,1,5989.78,5601.94,6375.83,5262.76
67108864,1,12453.09,5388.93,12874.72,5212.45
134217728,1,25659.29,5230.77,25872.5,5187.66
268435456,1,52204.62,5141.99,51868.07,5175.35
