#header_line 1: command line used: mpirun -np 2 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0,22 -genv I_MPI_FABRICS=ofi ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pg-gnode001
#header_line 3: (latency, bandwidth) computed by fitting data = (-41.82,6173.0)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.29,0.0,-41.82,-0.0
1,1000,0.29,3.43,-41.82,-0.02
2,1000,0.28,7.03,-41.82,-0.05
4,1000,0.28,14.04,-41.82,-0.1
8,1000,0.29,27.64,-41.82,-0.19
16,1000,0.29,55.78,-41.82,-0.38
32,1000,0.35,92.39,-41.82,-0.77
64,1000,0.35,184.37,-41.81,-1.53
128,1000,0.45,282.67,-41.8,-3.06
256,1000,0.48,532.0,-41.78,-6.13
512,1000,0.56,913.29,-41.74,-12.27
1024,1000,0.67,1529.48,-41.66,-24.58
2048,1000,0.88,2332.95,-41.49,-49.36
4096,1000,1.26,3255.45,-41.16,-99.51
8192,1000,1.99,4108.99,-40.5,-202.27
16384,1000,4.06,4039.35,-39.17,-418.28
32768,1000,4.89,6705.31,-36.51,-897.51
65536,640,6.63,9880.86,-31.21,-2099.84
131072,320,8.92,14699.95,-20.59,-6365.81
262144,160,13.69,19147.44,0.64,409600.0
524288,80,24.71,21221.05,43.11,12161.63
1048576,40,58.55,17907.61,128.04,8189.44
2097152,20,149.2,14055.62,297.91,7039.55
4194304,10,331.52,12651.7,637.63,6577.96
8388608,5,952.91,8803.19,1317.09,6369.05
16777216,2,2505.35,6696.56,2676.01,6269.49
33554432,1,5400.99,6212.64,5393.84,6220.88
67108864,1,11008.47,6096.11,10829.5,6196.86
134217728,1,21921.6,6122.62,21700.82,6184.92
268435456,1,43315.7,6197.19,43443.47,6178.96
