#header_line 1: command line used: mpirun -np 2 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0,22 -genv I_MPI_FABRICS=shm ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pg-gnode001
#header_line 3: (latency, bandwidth) computed by fitting data = (-126.44,5177.2)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.25,0.0,-126.44,-0.0
1,1000,0.25,3.93,-126.44,-0.01
2,1000,0.25,7.85,-126.44,-0.02
4,1000,0.25,15.7,-126.44,-0.03
8,1000,0.25,31.6,-126.44,-0.06
16,1000,0.25,63.09,-126.44,-0.13
32,1000,0.26,121.27,-126.44,-0.25
64,1000,0.26,241.61,-126.43,-0.51
128,1000,0.27,466.0,-126.42,-1.01
256,1000,0.29,871.82,-126.39,-2.03
512,1000,0.56,911.04,-126.34,-4.05
1024,1000,0.61,1668.92,-126.24,-8.11
2048,1000,0.73,2823.88,-126.05,-16.25
4096,1000,0.93,4423.99,-125.65,-32.6
8192,1000,1.5,5449.28,-124.86,-65.61
16384,1000,2.41,6790.76,-123.28,-132.9
32768,1000,3.69,8887.9,-120.11,-272.82
65536,640,5.96,10992.54,-113.78,-575.99
131072,320,8.78,14928.7,-101.12,-1296.2
262144,160,15.67,16730.94,-75.81,-3457.91
524288,80,40.53,12934.97,-25.17,-20829.88
1048576,40,83.04,12628.0,76.1,13778.92
2097152,20,162.68,12891.6,278.63,7526.66
4194304,10,407.59,10290.38,683.7,6134.71
8388608,5,1033.28,8118.46,1493.85,5615.43
16777216,2,2157.34,7776.81,3114.14,5387.43
33554432,1,5969.24,5621.23,6354.72,5280.24
67108864,1,12371.38,5424.53,12835.88,5228.22
134217728,1,25543.06,5254.57,25798.21,5202.6
268435456,1,52093.79,5152.93,51722.85,5189.88
