#header_line 1: command line used: mpirun -np 2 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0,22 -genv I_MPI_OFI_PROVIDER=verbs ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pg-gnode001
#header_line 3: (latency, bandwidth) computed by fitting data = (-127.37,5158.8)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.29,0.0,-127.37,-0.0
1,1000,0.29,3.44,-127.37,-0.01
2,1000,0.29,6.81,-127.37,-0.02
4,1000,0.3,13.41,-127.37,-0.03
8,1000,0.29,27.38,-127.37,-0.06
16,1000,0.29,54.72,-127.37,-0.13
32,1000,0.31,104.51,-127.36,-0.25
64,1000,0.31,207.71,-127.36,-0.5
128,1000,0.31,418.69,-127.35,-1.01
256,1000,0.33,782.33,-127.32,-2.01
512,1000,0.59,870.77,-127.27,-4.02
1024,1000,0.62,1653.7,-127.17,-8.05
2048,1000,0.75,2730.78,-126.97,-16.13
4096,1000,0.97,4241.16,-126.58,-32.36
8192,1000,1.49,5500.76,-125.78,-65.13
16384,1000,2.41,6800.1,-124.19,-131.93
32768,1000,3.6,9108.29,-121.02,-270.77
65536,640,5.78,11345.06,-114.67,-571.52
131072,320,8.68,15104.3,-101.96,-1285.52
262144,160,15.46,16958.14,-76.56,-3424.03
524288,80,40.17,13053.34,-25.74,-20368.61
1048576,40,81.88,12805.57,75.89,13817.05
2097152,20,162.8,12881.63,279.15,7512.63
4194304,10,400.75,10466.1,685.67,6117.09
8388608,5,1036.6,8092.43,1498.7,5597.26
16777216,2,2180.46,7694.35,3124.78,5369.09
33554432,1,5982.84,5608.45,6376.93,5261.85
67108864,1,12390.95,5415.96,12881.23,5209.82
134217728,1,25651.28,5232.4,25889.84,5184.19
268435456,1,52276.63,5134.9,51907.05,5171.46
