#header_line 1: command line used: mpirun -np 2 -ppn 1 -genv I_MPI_DEBUG=4 -f $PBS_NODEFILE ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pg-gnode001 + ct1pg-gnode003
#header_line 3: (latency, bandwidth) computed by fitting data = (8.19,12237.0)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,1.43,0.0,8.19,0.0
1,1000,1.43,0.7,8.19,0.12
2,1000,1.42,1.41,8.19,0.24
4,1000,1.42,2.81,8.19,0.49
8,1000,1.43,5.61,8.19,0.98
16,1000,1.43,11.22,8.19,1.95
32,1000,1.45,22.02,8.19,3.91
64,1000,1.71,37.5,8.2,7.8
128,1000,1.76,72.81,8.2,15.61
256,1000,2.04,125.54,8.21,31.18
512,1000,2.12,241.97,8.23,62.21
1024,1000,2.31,442.64,8.27,123.82
2048,1000,2.99,685.21,8.36,244.98
4096,1000,3.9,1050.72,8.52,480.75
8192,1000,5.06,1620.14,8.86,924.6
16384,1000,6.82,2402.7,9.53,1719.2
32768,1000,10.64,3078.46,10.87,3014.54
65536,640,13.66,4797.13,13.55,4836.61
131072,320,22.42,5846.45,18.9,6935.03
262144,160,33.46,7835.12,29.61,8853.23
524288,80,56.32,9308.89,51.03,10274.11
1048576,40,98.56,10638.67,93.88,11169.32
2097152,20,185.49,11306.3,179.57,11678.74
4194304,10,355.38,11802.21,350.95,11951.29
8388608,5,700.34,11977.91,693.7,12092.56
16777216,2,1387.67,12090.17,1379.21,12164.37
33554432,1,2761.67,12150.05,2750.24,12200.55
67108864,1,5518.2,12161.37,5492.28,12218.76
134217728,1,11023.9,12175.16,10976.37,12227.88
268435456,1,21912.0,12250.62,21944.56,12232.44
