#header_line 1: command line used: mpirun -np 2 -ppn 1 -genv I_MPI_DEBUG=4 -genv I_MPI_OFI_PROVIDER=mlx -f $PBS_NODEFILE ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pg-gnode001 + ct1pg-gnode003
#header_line 3: (latency, bandwidth) computed by fitting data = (4.74,12180.7)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,1.27,0.0,4.74,0.0
1,1000,1.28,0.78,4.74,0.21
2,1000,1.29,1.55,4.74,0.42
4,1000,1.28,3.13,4.74,0.84
8,1000,1.27,6.3,4.74,1.69
16,1000,1.27,12.59,4.74,3.38
32,1000,1.29,24.79,4.74,6.75
64,1000,1.41,45.23,4.74,13.5
128,1000,1.46,87.56,4.75,26.95
256,1000,1.72,149.08,4.76,53.78
512,1000,1.77,288.79,4.78,107.11
1024,1000,1.94,527.76,4.82,212.45
2048,1000,2.55,803.68,4.9,417.96
4096,1000,3.23,1267.04,5.07,807.89
8192,1000,4.06,2017.0,5.41,1514.23
16384,1000,5.83,2811.66,6.08,2694.74
32768,1000,10.09,3246.15,7.43,4410.23
65536,640,13.24,4948.98,10.12,6475.89
131072,320,22.47,5832.09,15.5,8456.26
262144,160,33.01,7941.72,26.26,9982.64
524288,80,57.99,9041.7,47.78,10972.96
1048576,40,98.37,10659.33,90.82,11545.65
2097152,20,183.19,11448.15,176.91,11854.34
4194304,10,354.86,11819.57,349.08,12015.31
8388608,5,696.58,12042.64,693.42,12097.44
16777216,2,1381.83,12141.32,1382.1,12138.93
33554432,1,2753.84,12184.59,2759.45,12159.83
67108864,1,5504.54,12191.55,5514.17,12170.26
134217728,1,11035.07,12162.83,11023.61,12175.48
268435456,1,22039.57,12179.71,22042.47,12178.1
