#header_line 1: command line used: mpirun -np 2 -ppn 1 -genv I_MPI_DEBUG=4 -genv I_MPI_OFI_PROVIDER=tcp -f $PBS_NODEFILE ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pg-gnode001 + ct1pg-gnode003
#header_line 3: (latency, bandwidth) computed by fitting data = (248.33,2872.9)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,8.11,0.0,248.33,0.0
1,1000,8.05,0.12,248.33,0.0
2,1000,8.06,0.25,248.33,0.01
4,1000,8.03,0.5,248.33,0.02
8,1000,7.96,1.01,248.33,0.03
16,1000,7.95,2.01,248.33,0.06
32,1000,8.01,4.0,248.34,0.13
64,1000,8.02,7.98,248.35,0.26
128,1000,8.04,15.91,248.37,0.52
256,1000,8.11,31.58,248.42,1.03
512,1000,10.31,49.67,248.51,2.06
1024,1000,10.83,94.57,248.69,4.12
2048,1000,13.66,149.92,249.04,8.22
4096,1000,15.04,272.43,249.75,16.4
8192,1000,16.76,488.72,251.18,32.61
16384,1000,26.12,627.35,254.03,64.5
32768,1000,35.58,920.87,259.73,126.16
65536,640,59.98,1092.61,271.14,241.71
131072,320,110.21,1189.29,293.95,445.9
262144,160,132.11,1984.21,339.58,771.97
524288,80,232.48,2255.22,430.83,1216.93
1048576,40,432.53,2424.31,613.32,1709.67
2097152,20,795.8,2635.29,978.31,2143.65
4194304,10,1458.23,2876.31,1708.3,2455.25
8388608,5,3006.83,2789.85,3168.27,2647.69
16777216,2,6266.16,2677.43,6088.21,2755.69
33554432,1,15246.41,2200.81,11928.09,2813.06
67108864,1,25115.3,2672.03,23607.85,2842.65
134217728,1,49764.29,2697.07,46967.36,2857.68
268435456,1,91497.03,2933.82,93686.4,2865.26
