#header_line 1: command line used: mpirun -np 2 -ppn 1 -genv I_MPI_DEBUG=4 -genv I_MPI_OFI_PROVIDER=verbs -f $PBS_NODEFILE ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pg-gnode001 + ct1pg-gnode003
#header_line 3: (latency, bandwidth) computed by fitting data = (-36.68,6418.4)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,1.6,0.0,-36.68,-0.0
1,1000,1.62,0.62,-36.68,-0.03
2,1000,1.62,1.23,-36.68,-0.05
4,1000,1.62,2.47,-36.68,-0.11
8,1000,1.62,4.93,-36.68,-0.22
16,1000,1.62,9.88,-36.67,-0.44
32,1000,1.62,19.76,-36.67,-0.87
64,1000,1.65,38.76,-36.67,-1.75
128,1000,1.72,74.61,-36.66,-3.49
256,1000,2.15,119.27,-36.64,-6.99
512,1000,2.27,225.68,-36.6,-13.99
1024,1000,2.48,413.68,-36.52,-28.04
2048,1000,2.92,700.66,-36.36,-56.33
4096,1000,3.9,1049.92,-36.04,-113.65
8192,1000,5.34,1535.16,-35.4,-231.41
16384,1000,7.88,2078.21,-34.12,-480.19
32768,1000,10.61,3088.58,-31.57,-1037.95
65536,640,15.35,4269.56,-26.47,-2475.86
131072,320,23.65,5542.65,-16.26,-8061.01
262144,160,74.27,3529.51,4.17,62864.27
524288,80,109.61,4783.19,45.01,11648.26
1048576,40,174.37,6013.56,126.69,8276.71
2097152,20,307.31,6824.21,290.06,7230.06
4194304,10,573.93,7308.07,616.81,6799.99
8388608,5,1110.29,7555.32,1270.29,6603.7
16777216,2,2350.46,7137.85,2577.26,6509.71
33554432,1,5016.83,6688.37,5191.19,6463.73
67108864,1,10395.38,6455.64,10419.06,6440.97
134217728,1,20142.42,6663.44,20874.79,6429.66
268435456,1,42199.44,6361.11,41786.25,6424.01
