#header_line 1: command line used: mpirun -np 2 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_OFI_PROVIDER=tcp ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pg-gnode001
#header_line 3: (latency, bandwidth) computed by fitting data = (-106.65,4273.1)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.66,0.0,-106.65,-0.0
1,1000,0.67,1.49,-106.65,-0.01
2,1000,0.65,3.07,-106.65,-0.02
4,1000,0.65,6.13,-106.65,-0.04
8,1000,0.67,11.98,-106.65,-0.08
16,1000,0.65,24.71,-106.64,-0.15
32,1000,0.7,45.64,-106.64,-0.3
64,1000,0.68,93.79,-106.63,-0.6
128,1000,0.72,177.68,-106.62,-1.2
256,1000,0.68,378.19,-106.59,-2.4
512,1000,1.15,443.48,-106.53,-4.81
1024,1000,1.24,823.05,-106.41,-9.62
2048,1000,1.37,1499.64,-106.17,-19.29
4096,1000,1.87,2190.5,-105.69,-38.75
8192,1000,2.38,3438.46,-104.73,-78.22
16384,1000,3.54,4626.47,-102.81,-159.36
32768,1000,5.51,5946.11,-98.98,-331.06
65536,640,9.29,7055.08,-91.31,-717.73
131072,320,15.49,8463.35,-75.97,-1725.31
262144,160,29.97,8745.97,-45.3,-5786.84
524288,80,67.83,7729.17,16.05,32665.92
1048576,40,132.08,7938.94,138.74,7557.85
2097152,20,258.79,8103.75,384.13,5459.49
4194304,10,509.1,8238.74,874.91,4793.98
8388608,5,1073.53,7814.03,1856.48,4518.56
16777216,2,2408.92,6964.63,3819.6,4392.4
33554432,1,7839.29,4280.29,7745.85,4331.92
67108864,1,15801.41,4247.02,15598.35,4302.31
134217728,1,31698.79,4234.16,31303.34,4287.65
268435456,1,62572.25,4290.01,62713.33,4280.36
