#header_line 1: command line used: mpirun -np 2 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_OFI_PROVIDER=verbs ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pg-gnode001
#header_line 3: (latency, bandwidth) computed by fitting data = (-108.96,4271.7)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.48,0.0,-108.96,-0.0
1,1000,0.48,2.1,-108.96,-0.01
2,1000,0.49,4.12,-108.96,-0.02
4,1000,0.48,8.34,-108.96,-0.04
8,1000,0.48,16.66,-108.96,-0.07
16,1000,0.48,33.3,-108.96,-0.15
32,1000,0.5,64.32,-108.95,-0.29
64,1000,0.5,127.63,-108.95,-0.59
128,1000,0.6,213.25,-108.93,-1.18
256,1000,0.64,401.21,-108.9,-2.35
512,1000,0.98,524.07,-108.84,-4.7
1024,1000,1.01,1010.6,-108.72,-9.42
2048,1000,1.16,1763.16,-108.48,-18.88
4096,1000,1.63,2518.11,-108.0,-37.93
8192,1000,2.07,3961.42,-107.04,-76.53
16384,1000,3.72,4399.76,-105.13,-155.85
32768,1000,5.32,6164.8,-101.29,-323.51
65536,640,9.07,7222.97,-93.62,-700.02
131072,320,15.05,8707.47,-78.28,-1674.4
262144,160,28.51,9196.06,-47.59,-5508.38
524288,80,66.99,7826.7,13.77,38074.66
1048576,40,132.37,7921.28,136.51,7681.31
2097152,20,255.93,8194.15,381.98,5490.21
4194304,10,512.92,8177.31,872.93,4804.86
8388608,5,1064.87,7877.62,1854.82,4522.6
16777216,2,2347.79,7145.96,3818.6,4393.55
33554432,1,7906.51,4243.9,7746.16,4331.75
67108864,1,15817.2,4242.78,15601.29,4301.49
134217728,1,31596.36,4247.89,31311.54,4286.53
268435456,1,62638.57,4285.47,62732.04,4279.08
