#header_line 1: command line used: mpirun -np 2 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0,23 ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pg-gnode001
#header_line 3: (latency, bandwidth) computed by fitting data = (-103.45,4343.9)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.46,0.0,-103.45,-0.0
1,1000,0.47,2.12,-103.45,-0.01
2,1000,0.47,4.28,-103.45,-0.02
4,1000,0.47,8.5,-103.45,-0.04
8,1000,0.47,17.01,-103.45,-0.08
16,1000,0.47,34.2,-103.45,-0.15
32,1000,0.5,64.4,-103.45,-0.31
64,1000,0.5,129.04,-103.44,-0.62
128,1000,0.58,221.23,-103.42,-1.24
256,1000,0.63,408.52,-103.39,-2.48
512,1000,0.97,528.96,-103.33,-4.95
1024,1000,0.99,1036.15,-103.22,-9.92
2048,1000,1.15,1779.92,-102.98,-19.89
4096,1000,1.53,2682.8,-102.51,-39.96
8192,1000,2.15,3812.96,-101.57,-80.65
16384,1000,3.54,4630.17,-99.68,-164.37
32768,1000,5.43,6029.52,-95.91,-341.65
65536,640,9.2,7126.94,-88.37,-741.61
131072,320,15.26,8587.47,-73.28,-1788.65
262144,160,29.74,8814.15,-43.11,-6080.82
524288,80,66.43,7892.69,17.24,30411.14
1048576,40,130.5,8034.97,137.94,7601.68
2097152,20,253.17,8283.73,379.33,5528.57
4194304,10,503.6,8328.72,862.1,4865.22
8388608,5,1051.92,7974.57,1827.66,4589.81
16777216,2,2255.92,7436.97,3758.78,4463.47
33554432,1,7795.93,4304.1,7621.0,4402.89
67108864,1,15692.8,4276.41,15345.46,4373.21
134217728,1,31114.54,4313.67,30794.38,4358.51
268435456,1,61547.95,4361.4,61692.2,4351.21
