#header_line 1: command line used: mpirun -np 2 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0,23 -genv I_MPI_OFI_PROVIDER=mlx ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pg-gnode001
#header_line 3: (latency, bandwidth) computed by fitting data = (-108.86,4337.3)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.46,0.0,-108.86,-0.0
1,1000,0.47,2.14,-108.86,-0.01
2,1000,0.47,4.26,-108.86,-0.02
4,1000,0.47,8.55,-108.86,-0.04
8,1000,0.47,17.08,-108.86,-0.07
16,1000,0.47,34.37,-108.86,-0.15
32,1000,0.49,64.66,-108.85,-0.29
64,1000,0.5,129.15,-108.85,-0.59
128,1000,0.58,219.91,-108.83,-1.18
256,1000,0.63,407.3,-108.8,-2.35
512,1000,0.93,553.01,-108.74,-4.71
1024,1000,0.98,1045.58,-108.63,-9.43
2048,1000,1.12,1833.34,-108.39,-18.89
4096,1000,1.49,2741.73,-107.92,-37.95
8192,1000,2.02,4049.75,-106.97,-76.58
16384,1000,3.57,4583.43,-105.08,-155.92
32768,1000,5.28,6205.02,-101.31,-323.44
65536,640,9.1,7199.63,-93.75,-699.05
131072,320,15.02,8724.71,-78.64,-1666.73
262144,160,28.05,9344.92,-48.42,-5413.96
524288,80,66.99,7825.84,12.02,43617.97
1048576,40,130.71,8022.16,132.9,7889.96
2097152,20,252.18,8316.23,374.65,5597.63
4194304,10,503.89,8323.88,858.17,4887.5
8388608,5,1053.25,7964.53,1825.2,4595.99
16777216,2,2260.43,7422.15,3759.27,4462.89
33554432,1,7822.38,4289.54,7627.4,4399.2
67108864,1,15501.58,4329.16,15363.66,4368.03
134217728,1,31171.7,4305.76,30836.18,4352.61
268435456,1,61678.64,4352.16,61781.23,4344.94
