#header_line 1: command line used: mpirun -np 2 --map-by core --mca btl ^openib ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pg-gnode001
#header_line 3: (latency, bandwidth) computed by fitting data = (-42.53,6219.5)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.23,0.0,-42.53,-0.0
1,1000,0.22,4.51,-42.53,-0.02
2,1000,0.22,9.14,-42.53,-0.05
4,1000,0.24,16.87,-42.53,-0.09
8,1000,0.22,36.11,-42.53,-0.19
16,1000,0.22,71.67,-42.53,-0.38
32,1000,0.27,117.99,-42.53,-0.75
64,1000,0.27,235.63,-42.52,-1.51
128,1000,0.36,350.8,-42.51,-3.01
256,1000,0.39,656.92,-42.49,-6.02
512,1000,0.47,1086.06,-42.45,-12.06
1024,1000,0.57,1794.64,-42.37,-24.17
2048,1000,0.79,2594.49,-42.2,-48.53
4096,1000,1.16,3533.29,-41.87,-97.83
8192,1000,1.91,4291.69,-41.21,-198.79
16384,1000,2.98,5503.17,-39.9,-410.63
32768,1000,4.79,6845.1,-37.26,-879.44
65536,640,8.11,8083.82,-31.99,-2048.64
131072,320,14.67,8931.9,-21.46,-6107.74
262144,160,14.01,18711.79,-0.38,-689852.63
524288,80,25.23,20777.88,41.77,12551.78
1048576,40,60.78,17251.76,126.07,8317.41
2097152,20,156.78,13376.31,294.66,7117.19
4194304,10,338.16,12403.3,631.85,6638.13
8388608,5,949.86,8831.41,1306.23,6422.0
16777216,2,2474.79,6779.25,2655.0,6319.1
33554432,1,5360.96,6259.04,5352.52,6268.9
67108864,1,10902.24,6155.51,10747.57,6244.1
134217728,1,21697.43,6185.88,21537.67,6231.77
268435456,1,43026.58,6238.83,43117.88,6225.62
