#header_line 1: command line used: mpirun -np 2 --map-by core --mca pml ob1 --mca btl self,tcp ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pg-gnode001
#header_line 3: (latency, bandwidth) computed by fitting data = (1.61,5143.3)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,4.9,0.0,1.61,0.0
1,1000,4.95,0.2,1.61,0.62
2,1000,4.97,0.4,1.61,1.24
4,1000,4.97,0.8,1.61,2.48
8,1000,4.96,1.61,1.61,4.97
16,1000,4.95,3.23,1.61,9.94
32,1000,4.97,6.43,1.62,19.75
64,1000,4.98,12.85,1.62,39.51
128,1000,5.01,25.53,1.64,78.05
256,1000,5.04,50.8,1.66,154.22
512,1000,5.1,100.38,1.71,299.42
1024,1000,5.74,178.4,1.81,565.75
2048,1000,5.52,370.82,2.01,1018.91
4096,1000,6.38,642.11,2.41,1699.59
8192,1000,6.86,1194.76,3.2,2560.0
16384,1000,8.93,1835.45,4.8,3413.33
32768,1000,14.48,2262.94,7.98,4106.27
65536,640,29.87,2194.37,14.35,4566.97
131072,320,44.01,2978.35,27.1,4836.61
262144,160,61.82,4240.39,52.58,4985.62
524288,80,97.43,5381.2,103.55,5063.14
1048576,40,162.38,6457.55,205.49,5102.81
2097152,20,319.76,6558.48,409.36,5123.0
4194304,10,667.58,6282.89,817.11,5133.1
8388608,5,1548.87,5415.96,1632.6,5138.19
16777216,2,3260.55,5145.52,3263.59,5140.72
33554432,1,6615.75,5071.9,6525.58,5141.98
67108864,1,13212.59,5079.16,13049.54,5142.62
134217728,1,26224.84,5117.96,26097.47,5142.94
268435456,1,52083.62,5153.93,52193.34,5143.1
