#header_line 1: command line used: mpirun -np 2 --map-by node --mca btl ^openib ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pg-gnode001 + ct1pg-gnode003
#header_line 3: (latency, bandwidth) computed by fitting data = (4.62,12161.4)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,1.37,0.0,4.62,0.0
1,1000,1.37,0.73,4.62,0.22
2,1000,1.37,1.46,4.62,0.43
4,1000,1.37,2.92,4.62,0.87
8,1000,1.37,5.83,4.62,1.73
16,1000,1.37,11.67,4.62,3.46
32,1000,1.4,22.79,4.62,6.93
64,1000,1.7,37.64,4.62,13.85
128,1000,1.75,73.35,4.63,27.65
256,1000,2.01,127.5,4.64,55.17
512,1000,2.09,244.95,4.66,109.87
1024,1000,2.32,440.82,4.7,217.87
2048,1000,2.99,684.45,4.79,427.56
4096,1000,3.92,1044.93,4.96,825.81
8192,1000,5.5,1489.92,5.29,1548.58
16384,1000,7.3,2243.14,5.97,2744.39
32768,1000,10.11,3241.36,7.31,4482.63
65536,640,14.49,4524.09,10.01,6547.05
131072,320,23.55,5566.69,15.4,8511.17
262144,160,33.25,7884.75,26.17,10016.97
524288,80,55.46,9453.74,47.73,10984.45
1048576,40,98.81,10611.59,90.84,11543.11
2097152,20,184.73,11352.65,177.06,11844.3
4194304,10,354.49,11832.05,349.5,12000.87
8388608,5,698.85,12003.51,694.39,12080.54
16777216,2,1381.84,12141.2,1384.16,12120.86
33554432,1,2759.46,12159.76,2763.71,12141.08
67108864,1,5518.9,12159.82,5522.8,12151.24
134217728,1,11023.43,12175.67,11040.98,12156.32
268435456,1,22087.44,12153.31,22077.35,12158.86
