#header_line 1: command line used: mpirun -np 2 --map-by node --mca pml ob1 --mca btl self,tcp ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pg-gnode001 + ct1pg-gnode003
#header_line 3: (latency, bandwidth) computed by fitting data = (96.76,2216.0)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,15.6,0.0,96.76,0.0
1,1000,15.7,0.06,96.76,0.01
2,1000,15.72,0.13,96.76,0.02
4,1000,15.71,0.25,96.76,0.04
8,1000,15.69,0.51,96.76,0.08
16,1000,15.75,1.02,96.76,0.17
32,1000,15.78,2.03,96.77,0.33
64,1000,15.82,4.05,96.78,0.66
128,1000,16.27,7.87,96.81,1.32
256,1000,16.29,15.72,96.87,2.64
512,1000,16.52,31.0,96.99,5.28
1024,1000,16.97,60.35,97.22,10.53
2048,1000,38.83,52.74,97.68,20.97
4096,1000,39.16,104.61,98.6,41.54
8192,1000,39.7,206.37,100.45,81.55
16384,1000,41.68,393.1,104.15,157.31
32768,1000,49.25,665.4,111.54,293.78
65536,640,77.55,845.1,126.33,518.77
131072,320,136.41,960.85,155.9,840.74
262144,160,200.95,1304.52,215.05,1218.99
524288,80,315.93,1659.53,333.35,1572.79
1048576,40,520.48,2014.62,569.94,1839.8
2097152,20,924.78,2267.73,1043.13,2010.44
4194304,10,1907.16,2199.24,1989.51,2108.21
8388608,5,3983.95,2105.6,3882.26,2160.75
16777216,2,8084.51,2075.23,7667.76,2188.02
33554432,1,15690.85,2138.47,15238.77,2201.91
67108864,1,31046.95,2161.53,30380.79,2208.92
134217728,1,61138.88,2195.29,60664.82,2212.45
268435456,1,120746.06,2223.14,121232.88,2214.21
