#header_line 1: command line used: mpirun -np 2 --map-by socket --mca pml ob1 --mca btl self,tcp ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pg-gnode001
#header_line 3: (latency, bandwidth) computed by fitting data = (5.16,3114.6)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,8.71,0.0,5.16,0.0
1,1000,8.82,0.11,5.16,0.19
2,1000,8.82,0.23,5.16,0.39
4,1000,8.84,0.45,5.16,0.78
8,1000,8.84,0.91,5.16,1.55
16,1000,8.82,1.81,5.16,3.1
32,1000,8.83,3.62,5.17,6.19
64,1000,8.81,7.27,5.18,12.36
128,1000,9.17,13.95,5.2,24.62
256,1000,9.22,27.76,5.24,48.85
512,1000,9.29,55.11,5.32,96.24
1024,1000,10.35,98.95,5.48,186.86
2048,1000,9.7,211.03,5.81,352.5
4096,1000,11.61,352.76,6.47,633.08
8192,1000,12.37,662.32,7.79,1051.6
16384,1000,16.92,968.25,10.42,1572.36
32768,1000,26.98,1214.71,15.68,2089.8
65536,640,62.59,1047.06,26.2,2501.37
131072,320,91.89,1426.36,47.24,2774.6
262144,160,136.21,1924.57,89.32,2934.89
524288,80,207.74,2523.78,173.49,3022.01
1048576,40,358.09,2928.23,341.83,3067.54
2097152,20,675.58,3104.2,678.5,3090.87
4194304,10,1341.7,3126.11,1351.83,3102.69
8388608,5,2640.46,3176.95,2698.51,3108.61
16777216,2,5385.66,3115.17,5391.87,3111.58
33554432,1,10779.77,3112.72,10778.59,3113.06
67108864,1,21479.13,3124.38,21552.02,3113.81
134217728,1,42844.71,3132.66,43098.88,3114.18
268435456,1,86339.95,3109.05,86192.61,3114.37
