#header_line 1: command line used: mpirun -np 2 --map-by socket --mca pml ob1 --mca btl self,vader ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pg-gnode001
#header_line 3: (latency, bandwidth) computed by fitting data = (-66.36,3326.6)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.6,0.0,-66.36,-0.0
1,1000,0.63,1.58,-66.36,-0.02
2,1000,0.62,3.21,-66.36,-0.03
4,1000,0.63,6.33,-66.36,-0.06
8,1000,0.63,12.71,-66.36,-0.12
16,1000,0.73,22.01,-66.36,-0.24
32,1000,0.75,42.53,-66.35,-0.48
64,1000,0.88,72.67,-66.35,-0.96
128,1000,0.94,136.24,-66.33,-1.93
256,1000,1.13,226.88,-66.29,-3.86
512,1000,1.38,371.16,-66.21,-7.73
1024,1000,1.6,638.07,-66.06,-15.5
2048,1000,1.79,1147.27,-65.75,-31.15
4096,1000,3.35,1223.9,-65.13,-62.89
8192,1000,3.49,2347.14,-63.9,-128.2
16384,1000,4.35,3767.28,-61.44,-266.67
32768,1000,4.73,6933.56,-56.51,-579.86
65536,640,7.48,8756.01,-46.66,-1404.54
131072,320,10.79,12143.3,-26.96,-4861.72
262144,160,18.2,14401.77,12.44,21072.67
524288,80,38.38,13660.57,91.24,5746.25
1048576,40,101.28,10353.51,248.84,4213.86
2097152,20,244.23,8586.84,564.05,3718.02
4194304,10,504.41,8315.28,1194.46,3511.46
8388608,5,1276.48,6571.68,2455.29,3416.54
16777216,2,4210.51,3984.61,4976.94,3370.99
33554432,1,10799.07,3107.16,10020.25,3348.66
67108864,1,21147.55,3173.36,20106.86,3337.61
134217728,1,41001.13,3273.51,40280.09,3332.11
268435456,1,80007.15,3355.14,80626.55,3329.37
