#header_line 1: command line used: mpirun -np 2 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0,22 -genv I_MPI_OFI_PROVIDER=mlx ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pt-tnode007
#header_line 3: (latency, bandwidth) computed by fitting data = (-92.79,5562.6)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.23,0.0,-92.79,-0.0
1,1000,0.23,4.32,-92.79,-0.01
2,1000,0.23,8.63,-92.78,-0.02
4,1000,0.23,17.25,-92.78,-0.04
8,1000,0.23,34.47,-92.78,-0.09
16,1000,0.23,68.7,-92.78,-0.17
32,1000,0.24,132.77,-92.78,-0.34
64,1000,0.24,264.35,-92.77,-0.69
128,1000,0.26,493.58,-92.76,-1.38
256,1000,0.28,922.68,-92.74,-2.76
512,1000,0.43,1185.43,-92.69,-5.52
1024,1000,0.44,2345.11,-92.6,-11.06
2048,1000,0.58,3557.76,-92.42,-22.16
4096,1000,0.83,4920.79,-92.05,-44.5
8192,1000,1.42,5773.56,-91.31,-89.72
16384,1000,2.25,7265.97,-89.84,-182.37
32768,1000,3.42,9583.64,-86.89,-377.12
65536,640,5.65,11606.95,-81.0,-809.09
131072,320,8.56,15313.89,-69.22,-1893.56
262144,160,14.8,17708.2,-45.66,-5741.22
524288,80,41.95,12498.75,1.47,356658.5
1048576,40,80.03,13101.82,95.72,10954.62
2097152,20,152.41,13759.97,284.22,7378.62
4194304,10,373.12,11241.28,661.23,6343.18
8388608,5,1107.11,7577.06,1415.25,5927.3
16777216,2,2443.82,6865.15,2923.28,5739.18
33554432,1,5840.5,5745.13,5939.34,5649.52
67108864,1,11624.57,5773.02,11971.47,5605.73
134217728,1,23400.12,5735.77,24035.73,5584.09
268435456,1,48626.11,5520.4,48164.25,5573.33
