#header_line 1: command line used: mpirun -np 2 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pt-tnode007
#header_line 3: (latency, bandwidth) computed by fitting data = (-86.86,5562.5)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.23,0.0,-86.86,-0.0
1,1000,0.23,4.3,-86.86,-0.01
2,1000,0.23,8.6,-86.86,-0.02
4,1000,0.23,17.17,-86.86,-0.05
8,1000,0.23,34.36,-86.86,-0.09
16,1000,0.23,68.5,-86.86,-0.18
32,1000,0.24,131.14,-86.86,-0.37
64,1000,0.25,261.0,-86.85,-0.74
128,1000,0.26,491.06,-86.84,-1.47
256,1000,0.28,899.67,-86.82,-2.95
512,1000,0.43,1189.81,-86.77,-5.9
1024,1000,0.45,2289.7,-86.68,-11.81
2048,1000,0.6,3431.94,-86.49,-23.68
4096,1000,0.85,4799.6,-86.12,-47.56
8192,1000,1.39,5878.78,-85.39,-95.94
16384,1000,2.32,7059.99,-83.92,-195.23
32768,1000,3.55,9240.73,-80.97,-404.69
65536,640,5.7,11503.51,-75.08,-872.88
131072,320,8.77,14945.84,-63.3,-2070.65
262144,160,15.06,17403.98,-39.73,-6598.14
524288,80,41.95,12497.57,7.39,70945.6
1048576,40,82.24,12750.79,101.65,10315.55
2097152,20,156.84,13371.46,290.16,7227.57
4194304,10,401.12,10456.41,667.17,6286.71
8388608,5,1133.93,7397.79,1421.21,5902.44
16777216,2,2445.68,6859.94,2929.28,5727.42
33554432,1,5867.93,5718.27,5945.42,5643.74
67108864,1,11669.7,5750.7,11977.71,5602.81
134217728,1,23492.54,5713.21,24042.27,5582.57
268435456,1,48577.24,5525.95,48171.41,5572.51
