#header_line 1: command line used: mpirun -np 2 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS=ofi ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pt-tnode007
#header_line 3: (latency, bandwidth) computed by fitting data = (-58.08,6445.2)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.24,0.0,-58.08,-0.0
1,1000,0.24,4.1,-58.08,-0.02
2,1000,0.25,8.07,-58.08,-0.03
4,1000,0.24,16.61,-58.08,-0.07
8,1000,0.24,33.53,-58.08,-0.14
16,1000,0.24,67.2,-58.08,-0.28
32,1000,0.28,113.81,-58.07,-0.55
64,1000,0.28,228.44,-58.07,-1.1
128,1000,0.37,346.01,-58.06,-2.2
256,1000,0.43,598.62,-58.04,-4.41
512,1000,0.46,1124.01,-58.0,-8.83
1024,1000,0.59,1747.36,-57.92,-17.68
2048,1000,0.82,2503.88,-57.76,-35.46
4096,1000,1.2,3407.17,-57.44,-71.31
8192,1000,1.99,4123.75,-56.81,-144.2
16384,1000,3.68,4454.17,-55.54,-294.99
32768,1000,4.23,7743.03,-53.0,-618.26
65536,640,5.97,10981.31,-47.91,-1367.9
131072,320,8.01,16372.94,-37.74,-3473.03
262144,160,12.32,21281.66,-17.41,-15057.09
524288,80,21.67,24198.43,23.27,22530.64
1048576,40,49.35,21247.32,104.61,10023.67
2097152,20,139.73,15008.56,267.31,7845.39
4194304,10,293.3,14300.21,592.69,7076.72
8388608,5,809.91,10357.46,1243.46,6746.18
16777216,2,2230.22,7522.67,2545.0,6592.23
33554432,1,5152.74,6511.95,5148.07,6517.87
67108864,1,10393.88,6456.57,10354.22,6481.31
134217728,1,20840.46,6440.25,20766.52,6463.18
268435456,1,41582.7,6455.46,41591.13,6454.15
