#header_line 1: command line used: mpirun -np 2 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS=shm ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pt-tnode007
#header_line 3: (latency, bandwidth) computed by fitting data = (-80.13,5577.7)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.22,0.0,-80.13,-0.0
1,1000,0.28,3.58,-80.13,-0.01
2,1000,0.22,8.99,-80.13,-0.02
4,1000,0.23,17.67,-80.13,-0.05
8,1000,0.22,35.7,-80.13,-0.1
16,1000,0.23,71.04,-80.12,-0.2
32,1000,0.24,133.94,-80.12,-0.4
64,1000,0.24,265.35,-80.12,-0.8
128,1000,0.26,501.61,-80.1,-1.6
256,1000,0.28,913.48,-80.08,-3.2
512,1000,0.42,1224.37,-80.03,-6.4
1024,1000,0.44,2350.25,-79.94,-12.81
2048,1000,0.58,3514.97,-79.76,-25.68
4096,1000,0.83,4957.56,-79.39,-51.59
8192,1000,1.43,5717.36,-78.66,-104.14
16384,1000,2.43,6755.41,-77.19,-212.26
32768,1000,3.63,9035.4,-74.25,-441.32
65536,640,5.74,11412.27,-68.38,-958.41
131072,320,8.74,14989.89,-56.63,-2314.53
262144,160,15.08,17381.89,-33.13,-7912.59
524288,80,41.03,12779.32,13.87,37800.14
1048576,40,82.01,12786.5,107.87,9720.74
2097152,20,156.16,13429.68,295.86,7088.33
4194304,10,391.32,10718.33,671.85,6242.92
8388608,5,1151.26,7286.47,1423.83,5891.58
16777216,2,2557.69,6559.51,2927.78,5730.35
33554432,1,5874.62,5711.76,5935.68,5653.01
67108864,1,11678.38,5746.42,11951.49,5615.1
134217728,1,23448.16,5724.02,23983.11,5596.34
268435456,1,48426.8,5543.12,48046.36,5587.01
