#header_line 1: command line used: mpirun -np 2 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_OFI_PROVIDER=verbs ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pt-tnode007
#header_line 3: (latency, bandwidth) computed by fitting data = (-78.07,5580.9)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.24,0.0,-78.07,-0.0
1,1000,0.24,4.15,-78.07,-0.01
2,1000,0.24,8.34,-78.07,-0.03
4,1000,0.24,16.56,-78.07,-0.05
8,1000,0.24,32.83,-78.06,-0.1
16,1000,0.25,64.53,-78.06,-0.2
32,1000,0.25,125.67,-78.06,-0.41
64,1000,0.26,250.46,-78.05,-0.82
128,1000,0.27,481.67,-78.04,-1.64
256,1000,0.3,862.16,-78.02,-3.28
512,1000,0.43,1197.18,-77.97,-6.57
1024,1000,0.46,2239.22,-77.88,-13.15
2048,1000,0.61,3340.84,-77.7,-26.36
4096,1000,0.86,4760.72,-77.33,-52.97
8192,1000,1.42,5781.94,-76.6,-106.95
16384,1000,2.38,6882.69,-75.13,-218.08
32768,1000,3.53,9289.53,-72.19,-453.91
65536,640,5.73,11440.39,-66.32,-988.18
131072,320,8.71,15041.38,-54.58,-2401.47
262144,160,15.06,17401.02,-31.09,-8431.78
524288,80,41.28,12699.52,15.88,33015.62
1048576,40,81.95,12795.58,109.82,9548.13
2097152,20,155.95,13447.55,297.71,7044.28
4194304,10,379.95,11039.1,673.48,6227.81
8388608,5,1142.97,7339.33,1425.02,5886.66
16777216,2,2553.1,6571.32,2928.11,5729.71
33554432,1,5871.82,5714.48,5934.28,5654.34
67108864,1,11715.68,5728.12,11946.62,5617.39
134217728,1,23522.63,5705.9,23971.31,5599.1
268435456,1,48348.46,5552.1,48020.69,5590.0
