#header_line 1: command line used: mpirun -np 2 -ppn 1 -genv I_MPI_DEBUG=4 -f $PBS_NODEFILE ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pt-tnode007 + ct1pt-tnode008
#header_line 3: (latency, bandwidth) computed by fitting data = (5.74,12239.2)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,1.05,0.0,5.74,0.0
1,1000,1.04,0.96,5.74,0.17
2,1000,1.06,1.89,5.74,0.35
4,1000,1.05,3.8,5.74,0.7
8,1000,1.05,7.64,5.74,1.39
16,1000,1.05,15.25,5.75,2.78
32,1000,1.06,30.12,5.75,5.57
64,1000,1.19,53.56,5.75,11.13
128,1000,1.23,104.1,5.75,22.26
256,1000,1.47,174.7,5.76,44.44
512,1000,1.53,334.0,5.79,88.43
1024,1000,1.69,606.39,5.83,175.64
2048,1000,2.32,884.0,5.91,346.53
4096,1000,2.96,1381.62,6.08,673.68
8192,1000,3.93,2085.44,6.41,1278.0
16384,1000,5.78,2835.72,7.08,2314.12
32768,1000,9.44,3472.93,8.42,3891.69
65536,640,12.25,5349.43,11.1,5904.14
131072,320,21.67,6047.66,16.45,7967.9
262144,160,32.37,8098.4,27.16,9651.84
524288,80,54.17,9679.05,48.58,10792.26
1048576,40,97.77,10725.24,91.42,11469.88
2097152,20,182.39,11498.35,177.09,11842.29
4194304,10,353.98,11848.94,348.44,12037.38
8388608,5,693.55,12095.2,691.13,12137.53
16777216,2,1382.24,12137.74,1376.52,12188.14
33554432,1,2754.83,12180.24,2747.3,12213.6
67108864,1,5489.03,12225.99,5488.85,12226.4
134217728,1,11002.92,12198.38,10971.96,12232.79
268435456,1,21921.1,12245.53,21938.17,12236.0
