#header_line 1: command line used: mpirun -np 2 -ppn 1 -genv I_MPI_DEBUG=4 -genv I_MPI_OFI_PROVIDER=mlx -f $PBS_NODEFILE ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pt-tnode007 + ct1pt-tnode008
#header_line 3: (latency, bandwidth) computed by fitting data = (6.88,12265.7)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,1.04,0.0,6.88,0.0
1,1000,1.04,0.96,6.88,0.15
2,1000,1.05,1.9,6.88,0.29
4,1000,1.06,3.78,6.88,0.58
8,1000,1.05,7.64,6.88,1.16
16,1000,1.05,15.25,6.89,2.32
32,1000,1.07,29.94,6.89,4.64
64,1000,1.19,53.77,6.89,9.29
128,1000,1.24,103.55,6.89,18.58
256,1000,2.89,88.53,6.9,37.1
512,1000,1.54,333.03,6.93,73.88
1024,1000,1.69,604.24,6.97,146.92
2048,1000,2.26,904.64,7.05,290.5
4096,1000,3.01,1360.75,7.22,567.31
8192,1000,3.95,2075.15,7.55,1085.03
16384,1000,5.76,2844.92,8.22,1993.19
32768,1000,9.5,3448.11,9.56,3427.62
65536,640,12.38,5294.88,12.23,5358.63
131072,320,21.67,6047.85,17.57,7459.99
262144,160,31.9,8217.64,28.26,9276.15
524288,80,54.95,9540.51,49.63,10563.93
1048576,40,97.83,10718.45,92.37,11351.91
2097152,20,181.84,11533.25,177.86,11791.03
4194304,10,351.85,11920.88,348.84,12023.58
8388608,5,696.05,12051.66,690.79,12143.5
16777216,2,1381.86,12141.07,1374.7,12204.27
33554432,1,2760.84,12153.68,2742.53,12234.85
67108864,1,5505.0,12190.52,5478.17,12250.23
134217728,1,10966.41,12238.98,10949.45,12257.94
268435456,1,21873.81,12272.0,21892.01,12261.8
