#header_line 1: command line used: mpirun -np 2 -ppn 1 -genv I_MPI_DEBUG=4 -genv I_MPI_OFI_PROVIDER=tcp -f $PBS_NODEFILE ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pt-tnode007 + ct1pt-tnode008
#header_line 3: (latency, bandwidth) computed by fitting data = (14.71,2509.8)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,8.09,0.0,14.71,0.0
1,1000,8.05,0.12,14.71,0.07
2,1000,8.03,0.25,14.72,0.14
4,1000,8.07,0.5,14.72,0.27
8,1000,7.82,1.02,14.72,0.54
16,1000,7.77,2.06,14.72,1.09
32,1000,7.82,4.09,14.73,2.17
64,1000,8.02,7.98,14.74,4.34
128,1000,7.89,16.22,14.77,8.67
256,1000,7.86,32.58,14.82,17.27
512,1000,10.41,49.21,14.92,34.32
1024,1000,10.83,94.53,15.12,67.72
2048,1000,12.74,160.72,15.53,131.87
4096,1000,13.7,298.98,16.35,250.52
8192,1000,15.49,528.95,17.98,455.62
16384,1000,25.43,644.22,21.24,771.37
32768,1000,35.8,915.31,27.77,1179.98
65536,640,62.34,1051.32,40.83,1605.09
131072,320,117.04,1119.85,66.94,1958.05
262144,160,173.91,1507.32,119.16,2199.93
524288,80,270.0,1941.79,223.61,2344.65
1048576,40,447.03,2345.67,432.51,2424.4
2097152,20,810.53,2587.37,850.3,2466.37
4194304,10,1536.36,2730.03,1685.89,2487.89
8388608,5,3251.38,2580.01,3357.07,2498.79
16777216,2,6756.37,2483.17,6699.42,2504.28
33554432,1,13634.14,2461.06,13384.12,2507.03
67108864,1,27122.77,2474.26,26753.52,2508.41
134217728,1,52743.02,2544.75,53492.33,2509.1
268435456,1,107223.2,2503.52,106969.95,2509.45
