#header_line 1: command line used: mpirun -np 2 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pt-tnode007
#header_line 3: (latency, bandwidth) computed by fitting data = (-47.35,4303.5)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.42,0.0,-47.35,-0.0
1,1000,0.43,2.33,-47.35,-0.02
2,1000,0.43,4.66,-47.35,-0.04
4,1000,0.43,9.33,-47.35,-0.08
8,1000,0.43,18.61,-47.35,-0.17
16,1000,0.43,37.09,-47.34,-0.34
32,1000,0.46,69.16,-47.34,-0.68
64,1000,0.47,136.99,-47.33,-1.35
128,1000,0.58,219.39,-47.32,-2.7
256,1000,0.61,418.68,-47.29,-5.41
512,1000,0.8,638.33,-47.23,-10.84
1024,1000,0.87,1172.72,-47.11,-21.74
2048,1000,1.04,1972.94,-46.87,-43.7
4096,1000,1.48,2768.16,-46.4,-88.28
8192,1000,1.92,4273.47,-45.44,-180.28
16384,1000,3.29,4974.88,-43.54,-376.3
32768,1000,4.99,6572.02,-39.73,-824.77
65536,640,9.06,7230.56,-32.12,-2040.35
131072,320,17.72,7396.27,-16.89,-7760.33
262144,160,33.86,7742.54,13.57,19317.91
524288,80,82.06,6388.73,74.48,7039.31
1048576,40,166.71,6289.68,196.31,5341.43
2097152,20,331.51,6326.12,439.97,4766.58
4194304,10,657.75,6376.71,927.29,4523.18
8388608,5,1367.42,6134.61,1901.92,4410.6
16777216,2,3799.46,4415.68,3851.19,4356.37
33554432,1,7820.16,4290.76,7749.73,4329.75
67108864,1,15546.95,4316.53,15546.81,4316.57
134217728,1,31130.22,4311.49,31140.96,4310.01
268435456,1,62350.84,4305.24,62329.27,4306.73
