#header_line 1: command line used: mpirun -np 2 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_OFI_PROVIDER=tcp ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pt-tnode007
#header_line 3: (latency, bandwidth) computed by fitting data = (-52.39,4296.7)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.7,0.0,-52.39,-0.0
1,1000,0.72,1.38,-52.39,-0.02
2,1000,0.73,2.74,-52.39,-0.04
4,1000,0.72,5.54,-52.39,-0.08
8,1000,0.73,10.98,-52.39,-0.15
16,1000,0.71,22.63,-52.39,-0.31
32,1000,0.71,45.13,-52.39,-0.61
64,1000,0.71,90.73,-52.38,-1.22
128,1000,0.76,168.51,-52.36,-2.44
256,1000,0.7,363.32,-52.33,-4.89
512,1000,1.13,453.12,-52.28,-9.79
1024,1000,1.21,844.39,-52.16,-19.63
2048,1000,1.35,1520.21,-51.92,-39.45
4096,1000,1.86,2205.23,-51.44,-79.63
8192,1000,2.25,3635.85,-50.49,-162.25
16384,1000,3.22,5085.06,-48.58,-337.26
32768,1000,5.32,6164.85,-44.77,-731.92
65536,640,9.26,7073.68,-37.14,-1764.57
131072,320,17.96,7299.07,-21.89,-5987.76
262144,160,34.34,7633.13,8.62,30411.14
524288,80,82.92,6322.55,69.63,7529.63
1048576,40,167.49,6260.68,191.65,5471.31
2097152,20,331.14,6333.16,435.69,4813.4
4194304,10,658.03,6374.02,923.78,4540.37
8388608,5,1363.45,6152.47,1899.96,4415.15
16777216,2,3713.54,4517.86,3852.3,4355.12
33554432,1,7760.47,4323.77,7757.0,4325.7
67108864,1,15610.99,4298.82,15566.4,4311.14
134217728,1,31142.4,4309.81,31185.2,4303.89
268435456,1,62463.02,4297.51,62422.79,4300.28
