#header_line 1: command line used: mpirun -np 2 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_OFI_PROVIDER=verbs ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pt-tnode007
#header_line 3: (latency, bandwidth) computed by fitting data = (-48.08,4304.1)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.43,0.0,-48.08,-0.0
1,1000,0.44,2.29,-48.08,-0.02
2,1000,0.44,4.57,-48.08,-0.04
4,1000,0.44,9.1,-48.08,-0.08
8,1000,0.44,18.23,-48.07,-0.17
16,1000,0.44,36.5,-48.07,-0.33
32,1000,0.47,67.42,-48.07,-0.67
64,1000,0.48,134.4,-48.06,-1.33
128,1000,0.57,226.13,-48.05,-2.66
256,1000,0.61,423.05,-48.02,-5.33
512,1000,0.83,620.41,-47.96,-10.68
1024,1000,0.88,1161.96,-47.84,-21.4
2048,1000,1.06,1941.2,-47.6,-43.03
4096,1000,1.49,2746.45,-47.12,-86.93
8192,1000,1.95,4202.22,-46.17,-177.43
16384,1000,3.26,5022.54,-44.27,-370.09
32768,1000,5.0,6550.64,-40.46,-809.89
65536,640,9.13,7176.44,-32.85,-1995.01
131072,320,17.72,7396.4,-17.62,-7438.82
262144,160,34.26,7650.89,12.83,20432.11
524288,80,82.22,6376.31,73.74,7109.95
1048576,40,166.66,6291.89,195.55,5362.19
2097152,20,330.27,6349.87,439.17,4775.26
4194304,10,655.63,6397.36,926.42,4527.43
8388608,5,1364.94,6145.75,1900.91,4412.94
16777216,2,3719.31,4510.84,3849.9,4357.83
33554432,1,7753.12,4327.86,7747.88,4330.79
67108864,1,15592.41,4303.94,15543.84,4317.39
134217728,1,31286.91,4289.9,31135.76,4310.73
268435456,1,62261.26,4311.44,62319.6,4307.4
