#header_line 1: command line used: mpirun -np 2 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0,23 -genv I_MPI_OFI_PROVIDER=mlx ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pt-tnode007
#header_line 3: (latency, bandwidth) computed by fitting data = (-44.2,4319.9)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.42,0.0,-44.2,-0.0
1,1000,0.43,2.33,-44.2,-0.02
2,1000,0.43,4.65,-44.2,-0.05
4,1000,0.43,9.29,-44.2,-0.09
8,1000,0.43,18.49,-44.2,-0.18
16,1000,0.43,37.22,-44.2,-0.36
32,1000,0.47,68.48,-44.19,-0.72
64,1000,0.46,138.23,-44.19,-1.45
128,1000,0.57,225.14,-44.17,-2.9
256,1000,0.61,421.06,-44.14,-5.8
512,1000,0.81,632.34,-44.08,-11.62
1024,1000,0.89,1149.16,-43.96,-23.29
2048,1000,1.06,1926.28,-43.73,-46.83
4096,1000,1.45,2828.64,-43.25,-94.71
8192,1000,1.94,4232.15,-42.31,-193.62
16384,1000,3.16,5183.22,-40.41,-405.44
32768,1000,5.01,6535.1,-36.62,-894.81
65536,640,9.24,7094.73,-29.03,-2257.53
131072,320,17.77,7377.88,-13.86,-9456.85
262144,160,34.01,7708.3,16.48,15906.8
524288,80,82.03,6391.74,77.16,6794.82
1048576,40,166.72,6289.45,198.53,5281.7
2097152,20,330.41,6347.05,441.26,4752.64
4194304,10,655.42,6399.45,926.72,4525.97
8388608,5,1363.46,6152.44,1897.64,4420.55
16777216,2,3821.67,4390.02,3839.49,4369.65
33554432,1,7783.3,4311.08,7723.17,4344.65
67108864,1,15503.33,4328.67,15490.55,4332.25
134217728,1,31091.77,4316.83,31025.3,4326.07
268435456,1,62073.84,4324.45,62094.81,4322.99
