#header_line 1: command line used: mpirun -np 2 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0,23 -genv I_MPI_FABRICS=ofi ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pt-tnode007
#header_line 3: (latency, bandwidth) computed by fitting data = (-118.39,5675.8)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.45,0.0,-118.39,-0.0
1,1000,0.44,2.25,-118.39,-0.01
2,1000,0.44,4.52,-118.39,-0.02
4,1000,0.45,8.89,-118.39,-0.03
8,1000,0.44,17.99,-118.39,-0.07
16,1000,0.44,35.99,-118.38,-0.14
32,1000,0.63,50.56,-118.38,-0.27
64,1000,0.63,101.84,-118.38,-0.54
128,1000,0.97,131.45,-118.36,-1.08
256,1000,1.15,223.34,-118.34,-2.16
512,1000,1.21,424.63,-118.3,-4.33
1024,1000,1.48,694.14,-118.21,-8.66
2048,1000,2.23,916.91,-118.03,-17.35
4096,1000,3.22,1270.24,-117.66,-34.81
8192,1000,5.14,1592.32,-116.94,-70.05
16384,1000,4.59,3566.64,-115.5,-141.85
32768,1000,5.25,6242.58,-112.61,-290.99
65536,640,6.71,9773.51,-106.84,-613.4
131072,320,8.67,15124.75,-95.29,-1375.51
262144,160,12.95,20247.27,-72.2,-3630.8
524288,80,22.18,23642.53,-26.01,-20157.17
1048576,40,50.07,20942.07,66.36,15801.33
2097152,20,141.11,14861.48,251.11,8351.53
4194304,10,289.16,14505.24,620.6,6758.47
8388608,5,596.26,14068.77,1359.58,6170.0
16777216,2,1852.38,9057.12,2837.55,5912.57
33554432,1,5430.25,6179.17,5793.49,5791.75
67108864,1,11751.8,5710.52,11705.37,5733.17
134217728,1,23563.03,5696.11,23529.13,5704.32
268435456,1,47284.73,5677.0,47176.64,5690.01
