#header_line 1: command line used: mpirun -np 2 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0,23 -genv I_MPI_FABRICS=shm ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pt-tnode007
#header_line 3: (latency, bandwidth) computed by fitting data = (-49.32,4310.1)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.42,0.0,-49.32,-0.0
1,1000,0.43,2.35,-49.32,-0.02
2,1000,0.42,4.71,-49.32,-0.04
4,1000,0.43,9.35,-49.32,-0.08
8,1000,0.43,18.76,-49.32,-0.16
16,1000,0.43,37.47,-49.32,-0.32
32,1000,0.46,69.4,-49.32,-0.65
64,1000,0.46,137.88,-49.31,-1.3
128,1000,0.58,220.89,-49.29,-2.6
256,1000,0.62,410.46,-49.26,-5.2
512,1000,0.79,644.68,-49.2,-10.41
1024,1000,0.88,1162.24,-49.09,-20.86
2048,1000,1.03,1979.83,-48.85,-41.92
4096,1000,1.44,2839.43,-48.37,-84.68
8192,1000,1.94,4212.04,-47.42,-172.75
16384,1000,3.32,4937.15,-45.52,-359.93
32768,1000,4.99,6572.74,-41.72,-785.43
65536,640,9.21,7119.58,-34.12,-1920.75
131072,320,17.82,7355.34,-18.91,-6931.36
262144,160,34.31,7640.4,11.5,22795.13
524288,80,81.71,6416.21,72.32,7249.56
1048576,40,165.99,6317.26,193.96,5406.15
2097152,20,329.89,6357.16,437.25,4796.23
4194304,10,656.16,6392.18,923.81,4540.22
8388608,5,1360.27,6166.85,1896.95,4422.16
16777216,2,3644.24,4603.77,3843.23,4365.39
33554432,1,7756.02,4326.24,7735.78,4337.56
67108864,1,15610.94,4298.84,15520.89,4323.78
134217728,1,31220.14,4299.07,31091.1,4316.92
268435456,1,62176.21,4317.33,62231.52,4313.5
