#header_line 1: command line used: mpirun -np 2 --map-by core --mca pml ob1 --mca btl self,vader ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pt-tnode007
#header_line 3: (latency, bandwidth) computed by fitting data = (-56.54,4492.6)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.26,0.0,-56.54,-0.0
1,1000,0.3,3.36,-56.54,-0.02
2,1000,0.3,6.77,-56.54,-0.04
4,1000,0.3,13.41,-56.54,-0.07
8,1000,0.3,26.47,-56.54,-0.14
16,1000,0.29,55.02,-56.54,-0.28
32,1000,0.29,109.99,-56.54,-0.57
64,1000,0.33,193.1,-56.53,-1.13
128,1000,0.37,342.78,-56.51,-2.27
256,1000,0.46,556.02,-56.49,-4.53
512,1000,0.65,790.65,-56.43,-9.07
1024,1000,0.76,1354.78,-56.32,-18.18
2048,1000,0.91,2257.96,-56.09,-36.51
4096,1000,1.83,2244.36,-55.63,-73.63
8192,1000,2.1,3907.59,-54.72,-149.71
16384,1000,2.57,6379.54,-52.9,-309.72
32768,1000,3.41,9619.45,-49.25,-665.34
65536,640,4.83,13575.28,-41.96,-1561.87
131072,320,7.65,17135.55,-27.37,-4788.89
262144,160,14.88,17622.59,1.81,144830.94
524288,80,32.06,16351.98,60.16,8714.89
1048576,40,83.31,12585.86,176.86,5928.85
2097152,20,198.94,10541.72,410.26,5111.76
4194304,10,438.33,9568.77,877.07,4782.18
8388608,5,1463.97,5730.05,1810.68,4632.85
16777216,2,3646.88,4600.42,3677.9,4561.63
33554432,1,7480.25,4485.73,7412.35,4526.83
67108864,1,14906.67,4501.94,14881.24,4509.63
134217728,1,29803.72,4503.39,29819.02,4501.08
268435456,1,59709.03,4495.73,59694.58,4496.81
