#header_line 1: command line used: mpirun -np 2 --map-by node --mca btl ^openib ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pt-tnode007 + ct1pt-tnode008
#header_line 3: (latency, bandwidth) computed by fitting data = (4.07,12162.0)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.99,0.0,4.07,0.0
1,1000,0.99,1.01,4.07,0.25
2,1000,1.0,2.0,4.07,0.49
4,1000,1.01,3.98,4.07,0.98
8,1000,0.99,8.07,4.07,1.97
16,1000,1.0,16.07,4.07,3.93
32,1000,1.01,31.76,4.07,7.86
64,1000,1.14,55.94,4.07,15.72
128,1000,1.19,107.54,4.08,31.37
256,1000,1.42,180.34,4.09,62.59
512,1000,1.49,343.59,4.11,124.57
1024,1000,1.65,620.5,4.15,246.75
2048,1000,2.32,884.15,4.23,484.16
4096,1000,3.18,1287.03,4.4,930.91
8192,1000,4.46,1836.28,4.74,1728.27
16384,1000,6.24,2626.66,5.41,3028.47
32768,1000,8.39,3904.95,6.76,4847.34
65536,640,12.23,5357.24,9.46,6927.7
131072,320,18.4,7123.62,14.84,8832.35
262144,160,31.97,8198.7,25.62,10232.01
524288,80,57.41,9133.08,47.18,11112.51
1048576,40,96.98,10812.45,90.28,11614.71
2097152,20,182.34,11501.46,176.5,11881.88
4194304,10,352.74,11890.71,348.94,12020.13
8388608,5,693.17,12101.82,693.81,12090.64
16777216,2,1382.7,12133.69,1383.55,12126.21
33554432,1,2766.99,12126.71,2763.03,12144.07
67108864,1,5523.44,12149.83,5521.99,12153.02
134217728,1,11027.54,12171.14,11039.91,12157.5
268435456,1,22081.0,12156.85,22075.76,12159.74
