#header_line 1: command line used: mpirun -np 2 --map-by node --mca pml ob1 --mca btl self,tcp ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pt-tnode007 + ct1pt-tnode008
#header_line 3: (latency, bandwidth) computed by fitting data = (43.4,2680.7)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,15.04,0.0,43.4,0.0
1,1000,15.17,0.07,43.4,0.02
2,1000,15.17,0.13,43.4,0.05
4,1000,15.17,0.26,43.4,0.09
8,1000,15.17,0.53,43.4,0.18
16,1000,15.17,1.05,43.4,0.37
32,1000,15.18,2.11,43.41,0.74
64,1000,15.19,4.21,43.42,1.47
128,1000,15.3,8.37,43.44,2.95
256,1000,15.6,16.41,43.49,5.89
512,1000,16.04,31.92,43.59,11.75
1024,1000,16.51,62.01,43.78,23.39
2048,1000,38.0,53.9,44.16,46.38
4096,1000,38.41,106.65,44.92,91.18
8192,1000,39.26,208.65,46.45,176.36
16384,1000,40.94,400.2,49.51,330.92
32768,1000,45.54,719.58,55.62,589.14
65536,640,56.41,1161.75,67.84,966.04
131072,320,104.05,1259.67,92.29,1420.22
262144,160,147.21,1780.78,141.19,1856.68
524288,80,224.94,2330.82,238.98,2193.86
1048576,40,361.57,2900.08,434.55,2413.02
2097152,20,648.09,3235.89,825.71,2539.82
4194304,10,1402.12,2991.4,1608.03,2608.35
8388608,5,3073.4,2729.42,3172.66,2644.03
16777216,2,6379.66,2629.8,6301.92,2662.24
33554432,1,12845.3,2612.2,12560.45,2671.44
67108864,1,25673.41,2613.94,25077.5,2676.06
134217728,1,50435.07,2661.2,50111.6,2678.38
268435456,1,99836.65,2688.75,100179.81,2679.54
