#header_line 1: command line used: mpirun -np 2 --map-by socket --mca btl ^openib ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pt-tnode007
#header_line 3: (latency, bandwidth) computed by fitting data = (-108.63,5656.7)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.41,0.0,-108.63,-0.0
1,1000,0.42,2.39,-108.63,-0.01
2,1000,0.41,4.84,-108.63,-0.02
4,1000,0.41,9.67,-108.63,-0.04
8,1000,0.41,19.38,-108.63,-0.07
16,1000,0.41,38.86,-108.63,-0.15
32,1000,0.56,56.79,-108.63,-0.29
64,1000,0.58,109.5,-108.62,-0.59
128,1000,0.89,144.25,-108.61,-1.18
256,1000,0.96,265.48,-108.59,-2.36
512,1000,1.13,451.98,-108.54,-4.72
1024,1000,1.3,787.57,-108.45,-9.44
2048,1000,2.11,971.84,-108.27,-18.92
4096,1000,3.0,1363.35,-107.91,-37.96
8192,1000,4.82,1697.97,-107.18,-76.43
16384,1000,7.22,2267.91,-105.73,-154.96
32768,1000,13.12,2496.72,-102.84,-318.63
65536,640,23.58,2779.61,-97.05,-675.28
131072,320,43.76,2995.1,-85.46,-1533.72
262144,160,13.23,19810.61,-62.29,-4208.44
524288,80,23.12,22680.02,-15.95,-32870.72
1048576,40,51.93,20192.17,76.74,13664.01
2097152,20,138.36,15157.02,262.11,8001.04
4194304,10,293.79,14276.49,632.84,6627.75
8388608,5,611.3,13722.56,1374.32,6103.82
16777216,2,1946.95,8617.16,2857.27,5871.76
33554432,1,5508.03,6091.91,5823.17,5762.23
67108864,1,11829.14,5673.18,11754.98,5708.97
134217728,1,23731.63,5655.65,23618.58,5682.72
268435456,1,47396.96,5663.56,47345.8,5669.68
