#header_line 1: command line used: mpirun -np 2 --map-by socket --mca pml ob1 --mca btl self,vader ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pt-tnode007
#header_line 3: (latency, bandwidth) computed by fitting data = (-127.08,3964.5)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.59,0.0,-127.08,-0.0
1,1000,0.66,1.51,-127.08,-0.01
2,1000,0.66,3.05,-127.08,-0.02
4,1000,0.66,6.07,-127.08,-0.03
8,1000,0.66,12.15,-127.07,-0.06
16,1000,0.74,21.5,-127.07,-0.13
32,1000,0.77,41.73,-127.07,-0.25
64,1000,0.87,73.7,-127.06,-0.5
128,1000,1.11,115.24,-127.04,-1.01
256,1000,1.23,208.48,-127.01,-2.02
512,1000,1.25,410.46,-126.95,-4.03
1024,1000,1.44,713.37,-126.82,-8.07
2048,1000,1.82,1128.17,-126.56,-16.18
4096,1000,2.92,1403.4,-126.04,-32.5
8192,1000,3.45,2374.84,-125.01,-65.53
16384,1000,3.61,4539.7,-122.94,-133.27
32768,1000,4.98,6583.85,-118.81,-275.8
65536,640,5.95,11008.92,-110.55,-592.82
131072,320,9.55,13730.81,-94.01,-1394.23
262144,160,16.43,15959.82,-60.95,-4300.97
524288,80,32.58,16094.49,5.17,101409.67
1048576,40,85.35,12285.26,137.42,7630.45
2097152,20,200.62,10453.3,401.91,5217.96
4194304,10,401.51,10446.2,930.9,4505.64
8388608,5,870.41,9637.56,1988.88,4217.75
16777216,2,3204.1,5236.17,4104.83,4087.19
33554432,1,8425.38,3982.54,8336.73,4024.89
67108864,1,16924.95,3965.08,16800.53,3994.45
134217728,1,33796.08,3971.4,33728.15,3979.4
268435456,1,67608.27,3970.45,67583.37,3971.92
