,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,0.28,0.00
,1,1000,0.29,3.48
,2,1000,0.29,6.92
,4,1000,0.29,13.81
,8,1000,0.29,27.60
,16,1000,0.29,55.45
,32,1000,0.30,107.61
,64,1000,0.30,214.73
,128,1000,0.30,424.30
,256,1000,0.32,807.36
,512,1000,0.56,915.10
,1024,1000,0.59,1745.58
,2048,1000,0.73,2819.67
,4096,1000,0.92,4432.14
,8192,1000,1.47,5554.28
,16384,1000,2.39,6842.64
,32768,1000,3.54,9247.72
,65536,640,5.73,11427.68
,131072,320,8.63,15186.05
,262144,160,15.73,16665.23
,524288,80,40.24,13030.34
,1048576,40,82.34,12735.03
,2097152,20,163.39,12835.00
,4194304,10,406.48,10318.57
,8388608,5,1034.89,8105.76
,16777216,2,2224.86,7540.79
,33554432,1,5953.90,5635.71
,67108864,1,12324.82,5445.02
,134217728,1,25615.60,5239.69
,268435456,1,52243.17,5138.19
