,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,0.28,0.00
,1,1000,0.29,3.45
,2,1000,0.29,6.88
,4,1000,0.29,13.69
,8,1000,0.29,27.50
,16,1000,0.29,55.03
,32,1000,0.30,106.87
,64,1000,0.30,212.15
,128,1000,0.30,422.82
,256,1000,0.31,821.90
,512,1000,0.56,906.90
,1024,1000,0.61,1674.44
,2048,1000,0.72,2842.61
,4096,1000,0.93,4396.76
,8192,1000,1.45,5654.69
,16384,1000,2.37,6913.10
,32768,1000,3.52,9301.77
,65536,640,5.78,11346.46
,131072,320,8.71,15055.30
,262144,160,15.22,17219.94
,524288,80,41.11,12752.61
,1048576,40,81.61,12848.18
,2097152,20,160.62,13056.86
,4194304,10,403.74,10388.54
,8388608,5,1030.92,8137.01
,16777216,2,2222.80,7547.77
,33554432,1,5989.78,5601.94
,67108864,1,12453.09,5388.93
,134217728,1,25659.29,5230.77
,268435456,1,52204.62,5141.99
