,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,0.29,0.00
,1,1000,0.29,3.43
,2,1000,0.28,7.03
,4,1000,0.28,14.04
,8,1000,0.29,27.64
,16,1000,0.29,55.78
,32,1000,0.35,92.39
,64,1000,0.35,184.37
,128,1000,0.45,282.67
,256,1000,0.48,532.00
,512,1000,0.56,913.29
,1024,1000,0.67,1529.48
,2048,1000,0.88,2332.95
,4096,1000,1.26,3255.45
,8192,1000,1.99,4108.99
,16384,1000,4.06,4039.35
,32768,1000,4.89,6705.31
,65536,640,6.63,9880.86
,131072,320,8.92,14699.95
,262144,160,13.69,19147.44
,524288,80,24.71,21221.05
,1048576,40,58.55,17907.61
,2097152,20,149.20,14055.62
,4194304,10,331.52,12651.70
,8388608,5,952.91,8803.19
,16777216,2,2505.35,6696.56
,33554432,1,5400.99,6212.64
,67108864,1,11008.47,6096.11
,134217728,1,21921.60,6122.62
,268435456,1,43315.70,6197.19
