,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,0.29,0.00
,1,1000,0.29,3.44
,2,1000,0.29,6.81
,4,1000,0.30,13.41
,8,1000,0.29,27.38
,16,1000,0.29,54.72
,32,1000,0.31,104.51
,64,1000,0.31,207.71
,128,1000,0.31,418.69
,256,1000,0.33,782.33
,512,1000,0.59,870.77
,1024,1000,0.62,1653.70
,2048,1000,0.75,2730.78
,4096,1000,0.97,4241.16
,8192,1000,1.49,5500.76
,16384,1000,2.41,6800.10
,32768,1000,3.60,9108.29
,65536,640,5.78,11345.06
,131072,320,8.68,15104.30
,262144,160,15.46,16958.14
,524288,80,40.17,13053.34
,1048576,40,81.88,12805.57
,2097152,20,162.80,12881.63
,4194304,10,400.75,10466.10
,8388608,5,1036.60,8092.43
,16777216,2,2180.46,7694.35
,33554432,1,5982.84,5608.45
,67108864,1,12390.95,5415.96
,134217728,1,25651.28,5232.40
,268435456,1,52276.63,5134.90
