,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,0.47,0.00
,1,1000,0.48,2.09
,2,1000,0.48,4.18
,4,1000,0.48,8.39
,8,1000,0.48,16.67
,16,1000,0.48,33.43
,32,1000,0.52,61.76
,64,1000,0.51,126.37
,128,1000,0.59,216.32
,256,1000,0.63,403.86
,512,1000,0.91,560.29
,1024,1000,0.98,1045.79
,2048,1000,1.12,1836.30
,4096,1000,1.52,2690.05
,8192,1000,2.11,3877.37
,16384,1000,3.50,4680.57
,32768,1000,5.36,6118.70
,65536,640,9.26,7074.18
,131072,320,15.34,8544.09
,262144,160,29.33,8936.51
,524288,80,67.13,7810.42
,1048576,40,132.35,7922.49
,2097152,20,259.19,8091.05
,4194304,10,512.38,8185.96
,8388608,5,1065.52,7872.78
,16777216,2,2299.53,7295.94
,33554432,1,7893.53,4250.88
,67108864,1,15710.57,4271.57
,134217728,1,31676.11,4237.19
,268435456,1,62552.30,4291.38
