,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,0.49,0.00
,1,1000,0.50,2.02
,2,1000,0.49,4.06
,4,1000,0.49,8.12
,8,1000,0.49,16.34
,16,1000,0.49,32.55
,32,1000,0.68,47.32
,64,1000,0.67,95.27
,128,1000,1.20,106.37
,256,1000,1.23,207.69
,512,1000,1.31,389.89
,1024,1000,1.62,632.36
,2048,1000,2.24,913.50
,4096,1000,3.11,1318.21
,8192,1000,4.80,1706.56
,16384,1000,4.90,3344.27
,32768,1000,5.66,5793.54
,65536,640,7.13,9188.30
,131072,320,9.50,13791.57
,262144,160,14.92,17571.65
,524288,80,25.91,20232.68
,1048576,40,61.94,16928.76
,2097152,20,157.20,13340.74
,4194304,10,340.64,12313.03
,8388608,5,766.99,10937.01
,16777216,2,2345.02,7154.40
,33554432,1,6425.21,5222.31
,67108864,1,13180.95,5091.35
,134217728,1,26709.74,5025.05
,268435456,1,52679.77,5095.61
