,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,0.44,0.00
,1,1000,0.45,2.24
,2,1000,0.45,4.48
,4,1000,0.44,9.01
,8,1000,0.45,17.92
,16,1000,0.44,36.11
,32,1000,0.49,65.00
,64,1000,0.48,131.99
,128,1000,0.60,212.54
,256,1000,0.63,405.26
,512,1000,0.97,527.06
,1024,1000,0.98,1041.89
,2048,1000,1.13,1809.19
,4096,1000,1.51,2708.62
,8192,1000,2.06,3984.81
,16384,1000,3.57,4592.30
,32768,1000,5.36,6108.53
,65536,640,9.27,7072.00
,131072,320,15.07,8699.00
,262144,160,29.39,8919.56
,524288,80,66.70,7860.97
,1048576,40,132.09,7938.53
,2097152,20,258.95,8098.68
,4194304,10,509.42,8233.49
,8388608,5,1077.27,7786.95
,16777216,2,2363.59,7098.19
,33554432,1,7834.84,4282.72
,67108864,1,15732.34,4265.66
,134217728,1,31592.68,4248.38
,268435456,1,62572.78,4289.97
