,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,0.46,0.00
,1,1000,0.47,2.12
,2,1000,0.47,4.28
,4,1000,0.47,8.50
,8,1000,0.47,17.01
,16,1000,0.47,34.20
,32,1000,0.50,64.40
,64,1000,0.50,129.04
,128,1000,0.58,221.23
,256,1000,0.63,408.52
,512,1000,0.97,528.96
,1024,1000,0.99,1036.15
,2048,1000,1.15,1779.92
,4096,1000,1.53,2682.80
,8192,1000,2.15,3812.96
,16384,1000,3.54,4630.17
,32768,1000,5.43,6029.52
,65536,640,9.20,7126.94
,131072,320,15.26,8587.47
,262144,160,29.74,8814.15
,524288,80,66.43,7892.69
,1048576,40,130.50,8034.97
,2097152,20,253.17,8283.73
,4194304,10,503.60,8328.72
,8388608,5,1051.92,7974.57
,16777216,2,2255.92,7436.97
,33554432,1,7795.93,4304.10
,67108864,1,15692.80,4276.41
,134217728,1,31114.54,4313.67
,268435456,1,61547.95,4361.40
