,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,1.37,0.00
,1,1000,1.37,0.73
,2,1000,1.37,1.46
,4,1000,1.37,2.92
,8,1000,1.37,5.83
,16,1000,1.37,11.67
,32,1000,1.40,22.79
,64,1000,1.70,37.64
,128,1000,1.75,73.35
,256,1000,2.01,127.50
,512,1000,2.09,244.95
,1024,1000,2.32,440.82
,2048,1000,2.99,684.45
,4096,1000,3.92,1044.93
,8192,1000,5.50,1489.92
,16384,1000,7.30,2243.14
,32768,1000,10.11,3241.36
,65536,640,14.49,4524.09
,131072,320,23.55,5566.69
,262144,160,33.25,7884.75
,524288,80,55.46,9453.74
,1048576,40,98.81,10611.59
,2097152,20,184.73,11352.65
,4194304,10,354.49,11832.05
,8388608,5,698.85,12003.51
,16777216,2,1381.84,12141.20
,33554432,1,2759.46,12159.76
,67108864,1,5518.90,12159.82
,134217728,1,11023.43,12175.67
,268435456,1,22087.44,12153.31
