,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,8.71,0.00
,1,1000,8.82,0.11
,2,1000,8.82,0.23
,4,1000,8.84,0.45
,8,1000,8.84,0.91
,16,1000,8.82,1.81
,32,1000,8.83,3.62
,64,1000,8.81,7.27
,128,1000,9.17,13.95
,256,1000,9.22,27.76
,512,1000,9.29,55.11
,1024,1000,10.35,98.95
,2048,1000,9.70,211.03
,4096,1000,11.61,352.76
,8192,1000,12.37,662.32
,16384,1000,16.92,968.25
,32768,1000,26.98,1214.71
,65536,640,62.59,1047.06
,131072,320,91.89,1426.36
,262144,160,136.21,1924.57
,524288,80,207.74,2523.78
,1048576,40,358.09,2928.23
,2097152,20,675.58,3104.20
,4194304,10,1341.70,3126.11
,8388608,5,2640.46,3176.95
,16777216,2,5385.66,3115.17
,33554432,1,10779.77,3112.72
,67108864,1,21479.13,3124.38
,134217728,1,42844.71,3132.66
,268435456,1,86339.95,3109.05
