,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,0.60,0.00
,1,1000,0.63,1.58
,2,1000,0.62,3.21
,4,1000,0.63,6.33
,8,1000,0.63,12.71
,16,1000,0.73,22.01
,32,1000,0.75,42.53
,64,1000,0.88,72.67
,128,1000,0.94,136.24
,256,1000,1.13,226.88
,512,1000,1.38,371.16
,1024,1000,1.60,638.07
,2048,1000,1.79,1147.27
,4096,1000,3.35,1223.90
,8192,1000,3.49,2347.14
,16384,1000,4.35,3767.28
,32768,1000,4.73,6933.56
,65536,640,7.48,8756.01
,131072,320,10.79,12143.30
,262144,160,18.20,14401.77
,524288,80,38.38,13660.57
,1048576,40,101.28,10353.51
,2097152,20,244.23,8586.84
,4194304,10,504.41,8315.28
,8388608,5,1276.48,6571.68
,16777216,2,4210.51,3984.61
,33554432,1,10799.07,3107.16
,67108864,1,21147.55,3173.36
,134217728,1,41001.13,3273.51
,268435456,1,80007.15,3355.14
