0.188	0.174	0.178	0.175	0.177	0.177	0.171	0.172	0.175	0.172
0.606	0.620	0.625	0.631	0.629	0.630	0.609	0.609	0.615	0.611
1.149	1.154	1.146	1.161	1.173	1.166	1.148	1.142	1.128	1.137
1.631	1.646	1.633	1.644	1.662	1.683	1.679	1.625	1.618	1.620
2.395	2.437	2.406	2.419	2.404	2.421	2.555	2.410	2.451	2.425
2.948	2.945	2.949	2.957	2.945	2.947	2.936	2.942	2.955	2.943
5.483	5.462	5.443	5.362	5.149	5.415	5.498	5.418	5.218	5.280
5.770	5.653	5.767	5.743	5.662	5.680	5.688	5.623	5.674	5.640
8.389	8.309	8.319	8.287	8.306	8.217	8.022	8.080	8.085	8.141
9.625	9.729	9.518	9.437	9.432	9.468	9.304	9.254	9.119	9.067
11.284	10.926	10.812	10.160	10.277	10.393	10.205	10.155	10.116	10.257
11.885	12.046	11.970	12.055	11.280	11.555	11.221	11.220	11.773	11.456
