0.148	0.144	0.145	0.146	0.143	0.145	0.146	0.148	0.144
0.545	0.541	0.538	0.544	0.550	0.544	0.539	0.531	0.542
0.982	0.978	0.983	0.983	0.980	0.989	0.975	0.969	0.978
1.364	1.350	1.355	1.352	1.344	1.347	1.375	1.367	1.365
1.997	1.976	1.992	2.037	1.993	1.988	2.002	1.988	1.977
2.426	2.395	2.391	2.405	2.405	2.396	2.417	2.396	2.407
4.651	4.572	4.631	4.775	4.525	4.646	4.548	4.697	4.691
4.810	4.812	4.759	4.781	4.840	4.773	4.795	4.786	4.823
6.866	6.812	6.868	6.831	6.873	6.820	6.901	6.818	6.981
7.826	7.824	7.861	7.798	7.815	7.842	7.906	7.851	7.829
8.498	8.520	8.505	8.426	8.556	8.481	8.536	8.444	8.528
9.427	9.402	9.763	9.485	9.447	9.395	9.416	9.472	9.415
