,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,0.28,0.00
,1,1000,0.29,3.39
,2,1000,0.29,6.79
,4,1000,0.29,13.58
,8,1000,0.29,27.45
,16,1000,0.29,54.49
,32,1000,0.30,106.21
,64,1000,0.30,213.18
,128,1000,0.30,421.50
,256,1000,0.32,800.12
,512,1000,0.56,919.16
,1024,1000,0.62,1644.41
,2048,1000,0.76,2693.77
,4096,1000,0.99,4149.87
,8192,1000,1.51,5412.94
,16384,1000,2.35,6974.64
,32768,1000,3.63,9035.67
,65536,640,5.86,11184.47
,131072,320,8.80,14898.61
,262144,160,15.67,16724.55
,524288,80,40.16,13054.47
,1048576,40,83.45,12565.03
,2097152,20,172.78,12137.59
,4194304,10,414.12,10128.20
,8388608,5,1020.25,8222.11
,16777216,2,2148.41,7809.12
,33554432,1,6030.65,5563.98
,67108864,1,12378.40,5421.45
,134217728,1,25672.26,5228.12
,268435456,1,52356.68,5127.05
