,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,1.43,0.00
,1,1000,1.43,0.70
,2,1000,1.42,1.41
,4,1000,1.42,2.81
,8,1000,1.43,5.61
,16,1000,1.43,11.22
,32,1000,1.45,22.02
,64,1000,1.71,37.50
,128,1000,1.76,72.81
,256,1000,2.04,125.54
,512,1000,2.12,241.97
,1024,1000,2.31,442.64
,2048,1000,2.99,685.21
,4096,1000,3.90,1050.72
,8192,1000,5.06,1620.14
,16384,1000,6.82,2402.70
,32768,1000,10.64,3078.46
,65536,640,13.66,4797.13
,131072,320,22.42,5846.45
,262144,160,33.46,7835.12
,524288,80,56.32,9308.89
,1048576,40,98.56,10638.67
,2097152,20,185.49,11306.30
,4194304,10,355.38,11802.21
,8388608,5,700.34,11977.91
,16777216,2,1387.67,12090.17
,33554432,1,2761.67,12150.05
,67108864,1,5518.20,12161.37
,134217728,1,11023.90,12175.16
,268435456,1,21912.00,12250.62
