,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,1.27,0.00
,1,1000,1.28,0.78
,2,1000,1.29,1.55
,4,1000,1.28,3.13
,8,1000,1.27,6.30
,16,1000,1.27,12.59
,32,1000,1.29,24.79
,64,1000,1.41,45.23
,128,1000,1.46,87.56
,256,1000,1.72,149.08
,512,1000,1.77,288.79
,1024,1000,1.94,527.76
,2048,1000,2.55,803.68
,4096,1000,3.23,1267.04
,8192,1000,4.06,2017.00
,16384,1000,5.83,2811.66
,32768,1000,10.09,3246.15
,65536,640,13.24,4948.98
,131072,320,22.47,5832.09
,262144,160,33.01,7941.72
,524288,80,57.99,9041.70
,1048576,40,98.37,10659.33
,2097152,20,183.19,11448.15
,4194304,10,354.86,11819.57
,8388608,5,696.58,12042.64
,16777216,2,1381.83,12141.32
,33554432,1,2753.84,12184.59
,67108864,1,5504.54,12191.55
,134217728,1,11035.07,12162.83
,268435456,1,22039.57,12179.71
