,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,15.60,0.00
,1,1000,15.70,0.06
,2,1000,15.72,0.13
,4,1000,15.71,0.25
,8,1000,15.69,0.51
,16,1000,15.75,1.02
,32,1000,15.78,2.03
,64,1000,15.82,4.05
,128,1000,16.27,7.87
,256,1000,16.29,15.72
,512,1000,16.52,31.00
,1024,1000,16.97,60.35
,2048,1000,38.83,52.74
,4096,1000,39.16,104.61
,8192,1000,39.70,206.37
,16384,1000,41.68,393.10
,32768,1000,49.25,665.40
,65536,640,77.55,845.10
,131072,320,136.41,960.85
,262144,160,200.95,1304.52
,524288,80,315.93,1659.53
,1048576,40,520.48,2014.62
,2097152,20,924.78,2267.73
,4194304,10,1907.16,2199.24
,8388608,5,3983.95,2105.60
,16777216,2,8084.51,2075.23
,33554432,1,15690.85,2138.47
,67108864,1,31046.95,2161.53
,134217728,1,61138.88,2195.29
,268435456,1,120746.06,2223.14
