,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,0.25,0.00
,1,1000,0.25,3.98
,2,1000,0.25,7.91
,4,1000,0.25,16.06
,8,1000,0.25,31.99
,16,1000,0.25,63.70
,32,1000,0.26,121.98
,64,1000,0.26,242.75
,128,1000,0.27,478.85
,256,1000,0.30,842.52
,512,1000,0.44,1169.74
,1024,1000,0.47,2199.53
,2048,1000,0.60,3404.63
,4096,1000,0.88,4654.57
,8192,1000,1.40,5834.89
,16384,1000,2.32,7074.42
,32768,1000,3.46,9471.87
,65536,640,5.62,11654.12
,131072,320,8.54,15347.85
,262144,160,14.89,17600.27
,524288,80,40.28,13015.54
,1048576,40,80.43,13036.83
,2097152,20,153.07,13700.88
,4194304,10,385.53,10879.35
,8388608,5,1109.10,7563.42
,16777216,2,2555.80,6564.38
,33554432,1,5820.11,5765.25
,67108864,1,11641.41,5764.67
,134217728,1,23379.02,5740.95
,268435456,1,48480.78,5536.95
