,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,0.23,0.00
,1,1000,0.23,4.29
,2,1000,0.23,8.56
,4,1000,0.23,17.16
,8,1000,0.23,34.33
,16,1000,0.23,68.40
,32,1000,0.24,132.49
,64,1000,0.24,264.19
,128,1000,0.26,495.15
,256,1000,0.28,901.51
,512,1000,0.42,1219.83
,1024,1000,0.44,2306.74
,2048,1000,0.60,3441.22
,4096,1000,0.86,4761.17
,8192,1000,1.41,5824.02
,16384,1000,2.33,7036.95
,32768,1000,3.55,9229.67
,65536,640,5.71,11477.26
,131072,320,8.72,15039.73
,262144,160,15.14,17309.55
,524288,80,41.84,12531.51
,1048576,40,82.52,12707.11
,2097152,20,155.03,13527.69
,4194304,10,382.00,10979.84
,8388608,5,1140.98,7352.11
,16777216,2,2479.41,6766.62
,33554432,1,5955.94,5633.77
,67108864,1,11693.69,5738.89
,134217728,1,23458.73,5721.44
,268435456,1,48391.95,5547.11
