,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,1.36,0.00
,1,1000,1.38,0.73
,2,1000,1.38,1.45
,4,1000,1.38,2.90
,8,1000,1.38,5.80
,16,1000,1.38,11.62
,32,1000,1.38,23.13
,64,1000,1.40,45.66
,128,1000,1.44,88.94
,256,1000,1.93,132.98
,512,1000,2.01,254.11
,1024,1000,2.24,457.77
,2048,1000,2.65,772.04
,4096,1000,3.67,1117.53
,8192,1000,5.09,1610.49
,16384,1000,7.81,2097.88
,32768,1000,10.31,3178.89
,65536,640,14.97,4378.73
,131072,320,23.65,5541.10
,262144,160,68.54,3824.42
,524288,80,96.69,5422.37
,1048576,40,151.02,6943.25
,2097152,20,266.14,7879.90
,4194304,10,484.69,8653.61
,8388608,5,927.12,9048.03
,16777216,2,1905.81,8803.19
,33554432,1,4165.92,8054.50
,67108864,1,8390.56,7998.13
,134217728,1,16763.16,8006.71
,268435456,1,34063.10,7880.54
