#header_line 1: command line used: mpirun -np 2 -ppn 1 -genv I_MPI_DEBUG=4 -genv I_MPI_OFI_PROVIDER=verbs -f $PBS_NODEFILE ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pt-tnode007 + ct1pt-tnode008
#header_line 3: (latency, bandwidth) computed by fitting data = (-17.15,7908.7)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,1.36,0.0,-17.15,-0.0
1,1000,1.38,0.73,-17.15,-0.06
2,1000,1.38,1.45,-17.15,-0.12
4,1000,1.38,2.9,-17.15,-0.23
8,1000,1.38,5.8,-17.14,-0.47
16,1000,1.38,11.62,-17.14,-0.93
32,1000,1.38,23.13,-17.14,-1.87
64,1000,1.4,45.66,-17.14,-3.73
128,1000,1.44,88.94,-17.13,-7.47
256,1000,1.93,132.98,-17.11,-14.96
512,1000,2.01,254.11,-17.08,-29.98
1024,1000,2.24,457.77,-17.02,-60.16
2048,1000,2.65,772.04,-16.89,-121.26
4096,1000,3.67,1117.53,-16.63,-246.3
8192,1000,5.09,1610.49,-16.11,-508.5
16384,1000,7.81,2097.88,-15.07,-1087.19
32768,1000,10.31,3178.89,-13.0,-2520.62
65536,640,14.97,4378.73,-8.86,-7396.84
131072,320,23.65,5541.1,-0.57,-229950.88
262144,160,68.54,3824.42,16.0,16384.0
524288,80,96.69,5422.37,49.15,10667.1
1048576,40,151.02,6943.25,115.44,9083.3
2097152,20,266.14,7879.9,248.03,8455.24
4194304,10,484.69,8653.61,513.2,8172.84
8388608,5,927.12,9048.03,1043.54,8038.61
16777216,2,1905.81,8803.19,2104.23,7973.09
33554432,1,4165.92,8054.5,4225.6,7940.75
67108864,1,8390.56,7998.13,8468.35,7924.67
134217728,1,16763.16,8006.71,16953.84,7916.66
268435456,1,34063.1,7880.54,33924.82,7912.66
