,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,0.42,0.00
,1,1000,0.42,2.37
,2,1000,0.42,4.74
,4,1000,0.42,9.44
,8,1000,0.42,18.89
,16,1000,0.42,37.81
,32,1000,0.46,69.20
,64,1000,0.46,138.87
,128,1000,0.58,222.27
,256,1000,0.61,418.68
,512,1000,0.79,645.06
,1024,1000,0.88,1157.71
,2048,1000,1.04,1975.08
,4096,1000,1.48,2763.15
,8192,1000,1.99,4110.66
,16384,1000,3.32,4937.40
,32768,1000,5.07,6465.09
,65536,640,9.14,7171.89
,131072,320,17.73,7391.87
,262144,160,34.01,7707.21
,524288,80,81.90,6401.26
,1048576,40,166.34,6303.64
,2097152,20,330.74,6340.82
,4194304,10,656.18,6391.99
,8388608,5,1369.03,6127.42
,16777216,2,3651.81,4594.22
,33554432,1,7747.78,4330.84
,67108864,1,15556.11,4313.99
,134217728,1,31161.76,4307.13
,268435456,1,62393.11,4302.33
