,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,0.45,0.00
,1,1000,0.44,2.25
,2,1000,0.44,4.52
,4,1000,0.45,8.89
,8,1000,0.44,17.99
,16,1000,0.44,35.99
,32,1000,0.63,50.56
,64,1000,0.63,101.84
,128,1000,0.97,131.45
,256,1000,1.15,223.34
,512,1000,1.21,424.63
,1024,1000,1.48,694.14
,2048,1000,2.23,916.91
,4096,1000,3.22,1270.24
,8192,1000,5.14,1592.32
,16384,1000,4.59,3566.64
,32768,1000,5.25,6242.58
,65536,640,6.71,9773.51
,131072,320,8.67,15124.75
,262144,160,12.95,20247.27
,524288,80,22.18,23642.53
,1048576,40,50.07,20942.07
,2097152,20,141.11,14861.48
,4194304,10,289.16,14505.24
,8388608,5,596.26,14068.77
,16777216,2,1852.38,9057.12
,33554432,1,5430.25,6179.17
,67108864,1,11751.80,5710.52
,134217728,1,23563.03,5696.11
,268435456,1,47284.73,5677.00
