,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,0.20,0.00
,1,1000,0.20,4.90
,2,1000,0.20,9.90
,4,1000,0.20,19.79
,8,1000,0.20,39.56
,16,1000,0.21,77.48
,32,1000,0.24,134.79
,64,1000,0.23,273.61
,128,1000,0.32,405.22
,256,1000,0.37,691.33
,512,1000,0.38,1333.13
,1024,1000,0.48,2111.52
,2048,1000,0.76,2709.07
,4096,1000,1.13,3625.09
,8192,1000,1.87,4377.93
,16384,1000,2.94,5565.92
,32768,1000,4.71,6954.87
,65536,640,8.04,8152.43
,131072,320,14.43,9084.36
,262144,160,12.60,20803.80
,524288,80,22.31,23497.40
,1048576,40,52.83,19849.35
,2097152,20,138.22,15172.65
,4194304,10,309.96,13531.74
,8388608,5,874.52,9592.20
,16777216,2,2276.18,7370.77
,33554432,1,5196.96,6456.54
,67108864,1,10416.10,6442.80
,134217728,1,20825.13,6444.99
,268435456,1,41634.30,6447.46
