,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,0.59,0.00
,1,1000,0.66,1.51
,2,1000,0.66,3.05
,4,1000,0.66,6.07
,8,1000,0.66,12.15
,16,1000,0.74,21.50
,32,1000,0.77,41.73
,64,1000,0.87,73.70
,128,1000,1.11,115.24
,256,1000,1.23,208.48
,512,1000,1.25,410.46
,1024,1000,1.44,713.37
,2048,1000,1.82,1128.17
,4096,1000,2.92,1403.40
,8192,1000,3.45,2374.84
,16384,1000,3.61,4539.70
,32768,1000,4.98,6583.85
,65536,640,5.95,11008.92
,131072,320,9.55,13730.81
,262144,160,16.43,15959.82
,524288,80,32.58,16094.49
,1048576,40,85.35,12285.26
,2097152,20,200.62,10453.30
,4194304,10,401.51,10446.20
,8388608,5,870.41,9637.56
,16777216,2,3204.10,5236.17
,33554432,1,8425.38,3982.54
,67108864,1,16924.95,3965.08
,134217728,1,33796.08,3971.40
,268435456,1,67608.27,3970.45
