,#bytes,#repetitions,t[usec],Mbytes/sec
,0,1000,0.51,0.00
,1,1000,0.49,2.03
,2,1000,0.49,4.04
,4,1000,0.50,7.95
,8,1000,0.49,16.35
,16,1000,0.50,32.19
,32,1000,0.51,62.55
,64,1000,0.51,126.32
,128,1000,0.52,244.54
,256,1000,0.54,472.92
,512,1000,0.70,731.71
,1024,1000,0.74,1376.59
,2048,1000,0.90,2274.72
,4096,1000,1.16,3538.87
,8192,1000,1.56,5259.61
,16384,1000,2.37,6914.58
,32768,1000,3.55,9235.28
,65536,640,5.66,11575.67
,131072,320,8.63,15180.11
,262144,160,14.84,17664.17
,524288,80,41.52,12627.93
,1048576,40,81.32,12894.42
,2097152,20,153.34,13676.36
,4194304,10,386.98,10838.52
,8388608,5,1099.56,7629.03
,16777216,2,2540.32,6604.38
,33554432,1,5835.46,5750.09
,67108864,1,11648.07,5761.37
,134217728,1,23410.88,5733.14
,268435456,1,48614.44,5521.72
